"ranking_date","player_id","player_name","atp_rank","atp_points"
"20260525","209857","Leandro Riedi","120","525"
"20260525","149282","Nicolai Budkov Kjaer","121","520"
"20260525","208010","Pablo Llamas Ruiz","122","515"
"20260525","209262","Tristan Schoolkate","123","512"
"20260525","126504","Andrea Pellegrino","124","507"
"20260525","207985","Jacob Fearnley","125","505"
"20260525","111456","Mackenzie Mcdonald","126","501"
"20260525","124186","Alexandre Muller","127","494"
"20260525","208353","Francesco Maestrelli","128","490"
"20260525","209209","Filip Misolic","129","489"
"20260525","208278","Shintaro Mochizuki","130","480"
"20260525","208013","Dane Sweeny","131","468"
"20260525","209957","Jack Pinnington Jones","132","468"
"20260525","209147","Vilius Gaubas","133","464"
"20260525","202261","Otto Virtanen","134","462"
"20260525","210338","Arthur Gea","135","460"
"20260525","144642","Tomas Barrios Vera","136","450"
"20260525","105583","Dusan Lajovic","137","446"
"20260525","105882","Stefano Travaglia","138","443"
"20260525","121411","Moez Echargui","139","441"
"20260525","124079","Pedro Martinez","140","431"
"20260525","126128","Roman Safiullin","141","430"
"20260525","209284","Elmer Moller","142","426"
"20260525","144750","Lloyd Harris","143","423"
"20260525","106198","Hugo Dellien","144","421"
"20260525","126535","Carlos Taberner","145","420"
"20260525","210116","Michael Zheng","146","414"
"20260525","208021","Kyrian Jacquet","147","411"
"20260525","210460","Nishesh Basavareddy","148","409"
"20260525","111442","Jordan Thompson","149","408"
"20260525","126129","Billy Harris","150","408"
"20260525","207680","Facundo Diaz Acosta","151","407"
"20260525","106109","Alex Bolt","152","406"
"20260525","210536","Rei Sakamoto","153","405"
"20260525","209259","Arthur Fery","154","404"
"20260525","106331","Christopher Oconnell","155","403"
"20260525","200416","August Holmgren","156","396"
"20260525","210136","Mark Lajal","157","386"
"20260525","200514","Jurij Rodionov","158","379"
"20260525","210389","Toby Samuel","159","378"
"20260525","200259","Ugo Blanchet","160","376"
"20260525","208859","Francesco Passaro","161","372"
"20260525","144645","Zdenek Kolar","162","372"
"20260525","208134","Luca Nardi","163","366"
"20260525","208119","Liam Draxl","164","364"
"20260525","208210","Chris Rodesch","165","359"
"20260525","207352","Bu Yunchaokete","166","358"
"20260525","127760","Lukas Klein","167","358"
"20260525","105777","Grigor Dimitrov","168","355"
"20260525","200711","Nicolas Mejia","169","354"
"20260525","212082","Joel Schwaerzler","170","351"
"20260525","202127","Clement Tabur","171","348"
"20260525","206748","Giulio Zeppieri","172","344"
"20260525","200436","Zsombor Piros","173","342"
"20260525","106415","Yoshihito Nishioka","174","341"
"20260525","206750","Daniil Glinka","175","340"
"20260525","210178","Juan Carlos Prado Angelo","176","338"
"20260525","206889","Clement Chidekh","177","335"
"20260525","106065","Marco Cecchinato","178","329"
"20260525","144870","Federico Agustin Gomez","179","328"
"20260525","111797","Nicolas Jarry","180","326"
"20260525","202358","Chun Hsin Tseng","181","326"
"20260525","206904","Gauthier Onclin","182","325"
"20260525","208293","Gonzalo Bueno","183","325"
"20260525","127339","Borna Gojo","184","323"
"20260525","212256","Colton Smith","185","322"
"20260525","208361","Gustavo Heide","186","322"
"20260525","209903","Lukas Neumayer","187","319"
"20260525","126952","Soon Woo Kwon","188","317"
"20260525","207608","Timofey Skatov","189","314"
"20260525","209875","Alex Barrena","190","309"
"20260525","111200","Elias Ymer","191","308"
"20260525","208843","Jerome Kym","192","307"
"20260525","200008","Alexis Galarneau","193","306"
"20260525","106071","Bernard Tomic","194","304"
"20260525","210053","Luka Mikrut","195","301"
"20260525","211533","Gianluca Cadenasso","196","296"
"20260525","208852","Stefanos Sakellaridis","197","294"
"20260525","206307","Joao Lucas Reis Da Silva","198","291"
"20260525","207729","Tristan Boyer","199","287"
"20260525","126663","Juan Pablo Ficovich","200","284"
"20260525","212063","Matej Dodig","201","283"
"20260525","200677","Rio Noguchi","202","283"
"20260525","106148","Roberto Carballes Baena","203","282"
"20260525","211451","Gilles Arnaud Bailly","204","277"
"20260525","105554","Daniel Evans","205","273"
"20260525","106293","Kimmer Coppejans","206","273"
"20260525","200318","Yu Hsiou Hsu","207","273"
"20260525","200329","Remy Bertola","208","273"
"20260525","105841","Lorenzo Giustino","209","273"
"20260525","126964","Vitaliy Sachko","210","269"
"20260525","209911","Guy Den Ouden","211","268"
"20260525","210510","Lautaro Midon","212","268"
"20260525","111513","Laslo Djere","213","266"
"20260525","208004","Harold Mayot","214","266"
"20260525","211514","Justin Engel","215","266"
"20260525","111581","Michael Mmoh","216","265"
"20260525","212044","Yi Zhou","217","263"
"20260525","104792","Gael Monfils","218","260"
"20260525","106281","Liam Broady","219","260"
"20260525","105732","Pierre Hugues Herbert","220","259"
"20260525","126409","Hugo Grenier","221","259"
"20260525","207546","Pol Martin Tiffon","222","257"
"20260525","200748","Andres Andrade","223","257"
"20260525","111190","Zhizhen Zhang","224","254"
"20260525","208364","Franco Roncadelli","225","254"
"20260525","144821","Genaro Alberto Olivieri","226","253"
"20260525","207784","Harry Wendelken","227","253"
"20260525","210167","Tom Gentzsch","228","253"
"20260525","210464","Darwin Blanch","229","252"
"20260525","200385","Dan Added","230","252"
"20260525","200462","Andrea Guerrieri","231","251"
"20260525","210220","Edas Butvilas","232","251"
"20260525","208046","Pedro Boscardin Dias","233","249"
"20260525","210317","James Mccabe","234","247"
"20260525","207663","Nikolas Sanchez Izquierdo","235","247"
"20260525","208069","Max Houkes","236","245"
"20260525","106393","Frederico Ferreira Silva","237","245"
"20260525","210748","Federico Cina","238","242"
"20260525","134840","Raul Brancaccio","239","242"
"20260525","208269","Felix Gill","240","240"
"20260525","202146","Luka Pavlovic","241","237"
"20260525","208279","Alejandro Moro Canas","242","234"
"20260525","200610","Oliver Crawford","243","233"
"20260525","202333","Keegan Smith","244","231"
"20260525","210119","Andrej Nedic","245","230"
"20260525","109303","Stefano Napolitano","246","227"
"20260525","111187","Kaichi Uchida","247","226"
"20260525","105676","David Goffin","248","225"
"20260525","202260","Henri Squire","249","223"
"20260525","202147","Florent Bax","250","221"
"20260525","126652","Jay Clarke","251","221"
"20260525","202262","Filip Cristian Jianu","252","219"
"20260525","207815","Guido Ivan Justo","253","217"
"20260525","209263","Matteo Gigante","254","216"
"20260525","200303","Pavel Kotov","255","215"
"20260525","122554","David Jorda Sanchis","256","213"
"20260525","210202","Rodrigo Pacheco Mendez","257","212"
"20260525","106162","Franco Agamenone","258","211"
"20260525","123755","Daniel Elahi Galan","259","210"
"20260525","207527","Buvaysar Gadamauri","260","209"
"20260525","207969","Stefan Dostanic","261","206"
"20260525","208223","Alvaro Guillen Meza","262","206"
"20260525","209992","Juncheng Shang","263","205"
"20260525","209326","Murphy Cassone","264","204"
"20260525","111806","Fajing Sun","265","203"
"20260525","209849","Sascha Gueymard Wayenburg","266","203"
"20260525","207732","Miguel Damas","267","203"
"20260525","209899","Ilia Simakin","268","202"
"20260525","209951","Petr Bar Biryukov","269","201"
"20260525","211500","Tiago Pereira","270","199"
"20260525","133297","Yosuke Watanuki","271","198"
"20260525","202400","Alastair Gray","272","198"
"20260525","106329","Thiago Monteiro","273","197"
"20260525","209405","Daniel Rincon","274","196"
"20260525","210558","Hynek Barton","275","195"
"20260525","123983","Nerman Fatic","276","194"
"20260525","208024","Max Alcala Gurri","277","193"
"20260525","105911","Andrea Collarini","278","193"
"20260525","207785","George Loffhagen","279","192"
"20260525","200277","Charles Broom","280","192"
"20260525","208913","Juan Bautista Torres","281","191"
"20260525","111576","Sumit Nagal","282","190"
"20260525","123921","Calvin Hemery","283","189"
"20260525","211346","Andres Martin","284","188"
"20260525","212020","Michele Ribecai","285","188"
"20260525","209850","Robin Bertrand","286","188"
"20260525","212309","Diego Dedura Palomero","287","187"
"20260525","210412","Juan Manuel La Serna","288","186"
"20260525","207213","Duje Ajdukovic","289","185"
"20260525","208902","Johannus Monday","290","184"
"20260525","211577","Antoine Ghibaudo","291","183"
"20260525","111578","Stefan Kozlov","292","181"
"20260525","208540","Inaki Montes De La Torre","293","181"
"20260525","200672","Sergey Fomin","294","181"
"20260525","209916","Marko Topo","295","180"
"20260525","209322","Martin Krumich","296","180"
"20260525","205734","Thiago Seyboth Wild","297","179"
"20260525","208421","Lilian Marmousez","298","179"
"20260525","207415","Daniel Michalski","299","179"
"20260525","207130","Matias Soto","300","179"
"20260525","209898","Dali Blanch","301","179"
"20260525","202320","Beibit Zhukayev","302","177"
"20260525","106057","Facundo Mena","303","177"
"20260525","105062","Mikhail Kukushkin","304","177"
"20260525","123961","Murkel Alejandro Dellien Velasco","305","177"
"20260525","122669","Juan Pablo Varillas","306","176"
