"player_id","match_date","tournament_name","surface","round","opponent_id","opponent_name","result","winner_id","winner_name","score"
"100581","1992-08-31","US Open","Hard","R16","101793","101793.0","L","101793","101793.0","n/a"
"100581","1992-08-31","US Open","Hard","R32","101735","101735.0","W","100581","100581.0","n/a"
"100581","1992-08-31","US Open","Hard","R64","101717","101717.0","W","100581","100581.0","n/a"
"100587","1991-01-07","Auckland","Hard","R32","101613","101613.0","L","101613","101613.0","n/a"
"100607","1991-04-29","Munich","Clay","R16","100972","100972.0","L","100972","100972.0","n/a"
"100607","1991-04-29","Munich","Clay","R32","101276","101276.0","W","100607","100607.0","n/a"
"100607","1991-04-15","Nice","Clay","R16","101276","101276.0","L","101276","101276.0","n/a"
"100607","1991-04-15","Nice","Clay","R32","101772","101772.0","W","100607","100607.0","n/a"
"100607","1991-04-01","Estoril","Clay","R16","101843","101843.0","L","101843","101843.0","n/a"
"100607","1991-04-01","Estoril","Clay","R32","101421","101421.0","W","100607","100607.0","n/a"
"100619","1994-10-03","Athens","Clay","R32","102154","102154.0","L","102154","102154.0","n/a"
"100619","1991-09-30","Athens","Clay","R32","101642","101642.0","L","101642","101642.0","n/a"
"100628","1993-06-07","Rosmalen","Grass","R32","102198","102198.0","L","102198","102198.0","n/a"
"100628","1993-04-19","Seoul","Hard","QF","100870","100870.0","L","100870","100870.0","n/a"
"100628","1993-04-19","Seoul","Hard","R16","102263","102263.0","W","100628","100628.0","n/a"
"100628","1993-04-19","Seoul","Hard","R32","102235","102235.0","W","100628","100628.0","n/a"
"100628","1993-02-22","Rotterdam","Carpet","R32","101334","101334.0","L","101334","101334.0","n/a"
"100628","1993-02-01","Dubai","Hard","R32","101772","101772.0","L","101772","101772.0","n/a"
"100628","1993-01-18","Australian Open","Hard","R128","101727","101727.0","L","101727","101727.0","n/a"
"100628","1993-01-11","Auckland","Hard","R32","101507","101507.0","L","101507","101507.0","n/a"
"100628","1992-11-09","Moscow","Carpet","R16","101084","101084.0","L","101084","101084.0","n/a"
"100628","1992-11-09","Moscow","Carpet","R32","101234","101234.0","W","100628","100628.0","n/a"
"100644","2026-08-02","Montreal Canada","Hard","Round of 64 - Center Court","134868","134868.0","L","134868","134868.0","n/a"
"100644","2026-08-02","Montreal Canada","Hard","Round of 64","134868","Tallon Griekspoor","L","134868","Tallon Griekspoor","6-7(3) 6-2 6-4"
"100644","2026-06-29","Wimbledon","Grass","Round of 16 - Centre Court","208103","208103.0","W","100644","100644.0","n/a"
"100644","2026-06-29","Wimbledon","Grass","Round of 32 - Court 1","106218","106218.0","W","100644","100644.0","n/a"
