player_id,player_name,elo,elo_rank,elo_change_10,elo_rank_change_10,atp_rank,atp_points,hard_elo,hard_elo_rank,hard_elo_change_10,hard_elo_rank_change_10,clay_elo,clay_elo_rank,clay_elo_change_10,clay_elo_rank_change_10,grass_elo,grass_elo_rank,grass_elo_change_10,grass_elo_rank_change_10,carpet_elo,carpet_elo_rank,carpet_elo_change_10,carpet_elo_rank_change_10,matches_played,is_active
206173,Jannik Sinner,2207.3370102715407,1.0,-9.137934096792378,0.0,1.0,14750.0,2150.5627322035916,1.0,16.16292621964749,0.0,1924.0856407734861,3.0,8.102583904986886,2.0,1782.428053248471,6.0,95.3765448951035,18.0,,,,,450.0,True
207989,Carlos Alcaraz,2123.8247392875173,2.0,-17.507996107563486,0.0,2.0,11960.0,2022.51269913484,2.0,-19.91117159948476,0.0,1972.2051204008326,2.0,3.2398995251771794,0.0,1783.437102403994,5.0,39.82220642427433,4.0,,,,,367.0,True
103819,Roger Federer,2006.3663626986747,3.0,-18.051106489715266,0.0,,,2009.046717846883,3.0,-33.43884651781218,0.0,1919.666261129755,5.0,6.447242111592232,0.0,1929.4248479065354,2.0,-31.540204991007613,-1.0,1704.4819406474512,7.0,55.49433485622512,11.0,1453.0,False
104925,Novak Djokovic,1996.750300844531,4.0,-27.279182942106445,-1.0,4.0,4460.0,2003.7128957734642,4.0,-0.10892615645002479,-1.0,1922.4295056861586,4.0,-38.75952492695433,-2.0,1953.2793903635788,1.0,-22.32479070447721,0.0,1527.0535551423272,102.0,,,1364.0,True
104417,Robin Soderling,1983.5933761455856,5.0,11.01058751227356,0.0,,,1913.7181103635212,6.0,8.67234227364338,-1.0,1865.9704398054316,7.0,48.543702619929945,-1.0,1638.8813247223134,44.0,47.672522481637316,5.0,1635.7717395709008,24.0,40.64109684002756,10.0,457.0,False
100644,Alexander Zverev,1938.6607296150605,6.0,-15.752530369452415,0.0,3.0,5705.0,1867.3985227648668,8.0,18.681046082122975,3.0,1873.2038339313376,6.0,20.47862685529526,1.0,1710.4574238327382,17.0,42.33943848349986,14.0,,,,,782.0,True
105223,Juan Martin del Potro,1928.2269553297153,7.0,-47.580290378967675,-2.0,,,1946.167632629761,5.0,-53.6177451525034,0.0,1790.4348499405216,11.0,-34.732368258299175,-1.0,1703.3233917609934,21.0,10.312237117145287,-2.0,1512.2593074986946,131.0,,,594.0,False
104745,Rafael Nadal,1888.1731601215565,8.0,-43.87889124222875,-1.0,,,1868.6373251547789,7.0,-118.55782830923704,-4.0,2008.362187435006,1.0,-66.933537539388,0.0,1814.1299898995642,4.0,46.3708572408209,3.0,1459.2916544995767,566.0,,,1279.0,False
209950,Arthur Fils,1843.9287674225786,9.0,-24.45712292686744,0.0,20.0,2040.0,1756.6438535286075,23.0,25.551175362580807,13.0,1729.2875545331847,20.0,41.227748519224406,17.0,1536.4377101768712,172.0,67.63480774420009,650.0,,,,,173.0,True
102158,Patrick Rafter,1840.8580998673776,10.0,-26.853514562731334,-5.0,,,1804.9580791785756,15.0,-25.363108691364687,-10.0,1624.7553766555654,77.0,-40.92308135363123,-56.0,1753.640960152979,8.0,16.540290618835797,-6.0,1605.2795216605568,32.0,6.964921526556964,-6.0,495.0,False
101736,Andre Agassi,1839.255067199967,11.0,-46.44724343496068,-6.0,,,1865.1602514637354,9.0,-63.27025271541993,-7.0,1730.4449664539743,18.0,-12.374034213718687,-5.0,1685.834983477231,27.0,-52.371645958889985,-22.0,1699.019834066912,8.0,-3.7274362052025936,2.0,840.0,False
101948,Pete Sampras,1835.1522149045995,12.0,-1.950657642302076,-8.0,,,1861.516994900616,10.0,59.95082146393224,-5.0,1635.046459679927,65.0,-2.617911837848169,-31.0,1841.8909159958516,3.0,-66.99526539344902,-2.0,1897.7144780999483,1.0,18.199365480072174,0.0,779.0,False
207733,Jack Draper,1821.6954767411237,13.0,-33.71491539750855,-1.0,75.0,760.0,1801.3183020981148,16.0,-49.97919275812296,-5.0,1627.5598539270538,72.0,36.19313679982611,35.0,1625.4232173811445,54.0,26.799838087703392,18.0,,,,,182.0,True
200000,Felix Auger Aliassime,1820.2518360277627,14.0,9.47858585002632,4.0,6.0,4050.0,1809.4548465925754,14.0,-12.955415577355552,-1.0,1659.321286745668,48.0,-3.780204388080392,-1.0,1614.444163016746,60.0,40.481684723792114,37.0,,,,,469.0,True
126203,Taylor Fritz,1816.0883369150163,15.0,39.85342471109152,12.0,9.0,3720.0,1753.7663361420905,25.0,-25.816407486806156,-4.0,1631.8882029102133,66.0,-84.06595887548428,-43.0,1739.9095427409202,10.0,24.04474529773165,3.0,,,,,574.0,True
104053,Andy Roddick,1808.9887019136945,16.0,-11.09362195527342,4.0,,,1800.9388881663767,17.0,-3.628374631956376,-1.0,1612.1212132786027,97.0,-110.3567657236647,-81.0,1777.0605357163315,7.0,6.192342423020591,-3.0,1623.1537608787758,29.0,19.407069804165076,-2.0,770.0,False
210097,Ben Shelton,1806.2949474541927,17.0,19.5419236827222,7.0,5.0,4070.0,1811.397352573198,13.0,15.044222086038644,5.0,1592.8410608443596,114.0,-4.186750362996008,-6.0,1583.4340978551425,87.0,56.499984196218065,101.0,,,,,227.0,True
101414,Boris Becker,1800.8127801386095,18.0,-3.65953524663405,-6.0,,,1740.1484382437507,29.0,-10.461918037185114,-16.0,1707.0732907671895,29.0,74.8822380528527,6.0,1724.445471855142,12.0,-22.456536289809947,-10.0,1793.5008249285038,2.0,-81.74834660386546,-1.0,408.0,False
207518,Lorenzo Musetti,1799.992454014923,19.0,0.27645387395546095,5.0,11.0,3115.0,1717.2903533123688,37.0,20.350429572386247,6.0,1792.7547461155602,10.0,-30.377836262596475,0.0,1605.9667106082063,66.0,68.90148078013135,90.0,,,,,327.0,True
106401,Nick Kyrgios,1799.4881216760296,20.0,-106.3630078716601,-10.0,,,1799.204703778025,18.0,-37.27865696150661,-7.0,1622.5247095095299,82.0,-24.20652107203091,-29.0,1643.6849201799932,42.0,-10.348984223200432,-5.0,,,,,315.0,False
200282,Alex De Minaur,1798.1701668739558,21.0,-15.264308989585516,-4.0,7.0,3855.0,1814.1888761281011,12.0,-40.939222343391975,-1.0,1680.1986194120468,37.0,7.381348972083515,4.0,1674.6337966856877,31.0,4.933536987305843,-2.0,,,,,515.0,True
106421,Daniil Medvedev,1796.88410053759,22.0,-43.74631608794425,-10.0,8.0,3760.0,1832.024965428038,11.0,8.538318547009794,3.0,1693.6485558144807,33.0,-5.817940229867645,-3.0,1687.4648702461586,26.0,-17.68841086659927,-8.0,,,,,636.0,True
104339,Mario Ancic,1788.4884906024788,23.0,-28.78550912762148,-8.0,,,1739.8091954443573,30.0,8.444353523618474,-4.0,1651.1301277583295,53.0,-19.726318172149377,-18.0,1713.5113015484615,16.0,12.797095513957174,-5.0,1588.1081020864804,39.0,72.36279597276416,74.0,315.0,False
126205,Tommy Paul,1784.2385189107042,24.0,-5.241285423870295,-1.0,21.0,1945.0,1726.0630581251733,34.0,-15.756270942519677,-5.0,1711.3100839498968,26.0,9.790190041727783,4.0,1637.7050433765041,46.0,13.129357333292546,9.0,,,,,383.0,True
134770,Casper Ruud,1783.0636267473983,25.0,-19.2515843160063,-5.0,16.0,2275.0,1683.8377779774896,55.0,-38.3790285391035,-17.0,1809.3973015433983,9.0,-23.46476006291482,-1.0,1483.232822920818,774.0,-14.553136804914857,-436.0,,,,,477.0,True
210150,Jakub Mensik,1777.3909626558395,26.0,13.141601783274382,4.0,27.0,1550.0,1754.1801335456132,24.0,28.53666047446245,13.0,1644.1828064718043,58.0,61.45413830985444,66.0,1504.0543141086907,332.0,19.666764304327444,324.0,,,,,139.0,True
210530,Learner Tien,1777.2770369140105,27.0,-18.263219847493247,-4.0,18.0,2180.0,1757.6267224191222,22.0,24.766871306289886,11.0,1567.3583239395557,159.0,100.05594681278535,970.0,1504.4890599331843,324.0,,,,,,,105.0,True
208103,Jiri Lehecka,1776.1774528971819,28.0,12.99635011242367,3.0,12.0,2665.0,1723.719019510136,36.0,15.581012783931783,4.0,1624.0480368781455,79.0,33.86366208282334,35.0,1594.918713561855,75.0,6.370115457792053,4.0,,,,,234.0,True
101222,Stefan Edberg,1774.7931828330593,29.0,3.1432355960553195,-16.0,,,1704.7270643940087,41.0,-19.310222924922073,-31.0,1710.4408764447764,27.0,4.393710066631684,-15.0,1661.0199515068966,35.0,16.66550503591452,-29.0,1684.5561434229046,11.0,-1.9534491104634526,-3.0,423.0,False
105683,Milos Raonic,1773.1408904616687,30.0,-3.585880139568644,-4.0,,,1773.8871627940275,20.0,-1.765969732816302,-3.0,1736.9867865544807,16.0,-38.44863062603122,-2.0,1724.1938180640454,13.0,-31.642678459397985,-5.0,,,,,542.0,False
211663,Joao Fonseca,1767.5379313297879,31.0,10.871591533547189,3.0,30.0,1435.0,1712.5041807564346,38.0,37.330857675674,18.0,1649.6838219401607,54.0,56.5386101510137,57.0,1502.5177424784474,353.0,14.788557511918498,209.0,,,,,91.0,True
208029,Holger Rune,1761.926049199623,32.0,4.06763634866229,2.0,44.0,1060.0,1752.4308686660918,27.0,3.011052576522843,-1.0,1716.673690859094,23.0,16.448893684378163,7.0,1554.9066968561983,135.0,9.637703309891549,2.0,,,,,271.0,True
200624,Sebastian Korda,1760.25466940182,33.0,54.933405450802184,18.0,47.0,1000.0,1734.1757779939626,31.0,49.97753767466179,21.0,1585.6687435214242,122.0,9.042119822755467,6.0,1590.0946419507018,80.0,40.80910332412736,49.0,,,,,264.0,True
103888,Mardy Fish,1759.4606792170398,34.0,-54.70658997280384,-17.0,,,1726.2735296212809,33.0,-52.409065568802134,-13.0,1543.8366748239039,217.0,12.01393276337626,-58.0,1685.4026577953123,28.0,41.548343529050726,-2.0,1484.1305983216655,413.0,,,492.0,False
126207,Frances Tiafoe,1754.0054802820569,35.0,5.166936787026771,4.0,22.0,1905.0,1699.3787532130411,44.0,14.576294099777442,11.0,1621.1634065272326,84.0,29.760191290946068,27.0,1620.9332569230958,58.0,60.30078286282014,64.0,,,,,487.0,True
102765,Nicolas Escude,1753.3321077339174,36.0,27.374217407675815,-7.0,,,1763.053796148507,21.0,-6.292572899463266,-12.0,1529.7264642652071,274.0,17.05481020838647,-121.0,1582.7014197077854,90.0,-13.097093321982811,-63.0,1556.3326187474167,66.0,9.318091646447556,-8.0,279.0,False
122330,Alexander Bublik,1750.1639507191965,37.0,-10.361928018915478,-4.0,10.0,3320.0,1704.27174732174,42.0,-25.49846124995679,-8.0,1626.9909279662422,74.0,11.326195443948109,15.0,1663.6745686427978,33.0,-6.467221883020557,-3.0,,,,,392.0,True
202103,Francisco Cerundolo,1747.446980347716,38.0,2.1888484229948517,0.0,26.0,1570.0,1700.4720766138626,43.0,31.55756300077269,20.0,1699.351157050783,30.0,-12.191939286742354,-3.0,1529.2453517970957,194.0,3.881539735124761,-10.0,,,,,283.0,True
103900,David Nalbandian,1746.995562311681,39.0,-19.623125213772482,-9.0,,,1752.6170712915748,26.0,-88.82467404713452,-13.0,1731.1486963943507,17.0,-15.810425516956002,-2.0,1626.9291589563588,52.0,5.508787473817392,-13.0,1650.7664473747923,18.0,-1.610096295329413,-2.0,544.0,False
101529,Michael Stich,1746.6237635095456,40.0,54.692400528002736,-5.0,,,1645.8851038467926,79.0,-115.90075405522157,-72.0,1740.181616946164,15.0,-36.17975779370704,-11.0,1715.041356023487,14.0,-0.4297352844885154,-11.0,1715.3213925672321,5.0,-51.14902345862515,-1.0,400.0,False
104607,Tomas Berdych,1737.8336221273348,41.0,-68.41191392214228,-16.0,,,1747.894749026191,28.0,-55.576131596186315,-11.0,1752.6940248307362,14.0,-68.54310312752773,-4.0,1697.792204083947,24.0,-5.517393399230059,-8.0,1573.83751322817,47.0,74.5961904771982,139.0,927.0,False
200221,Alejandro Davidovich Fokina,1734.6415381118675,42.0,35.608342845649304,11.0,23.0,1860.0,1685.7478025294806,53.0,-32.807726915012836,-17.0,1622.8046621463952,80.0,-1.0324955816529382,-6.0,1587.0316623479373,83.0,68.16476914641157,146.0,,,,,337.0,True
104026,Joachim Johansson,1730.890598996719,43.0,-25.037111581117642,-20.0,,,1731.6665980112825,32.0,-45.97239248714072,-18.0,1436.455335007019,1447.0,-38.81719423396589,-933.0,1518.0244388079864,249.0,16.943040696449543,-77.0,1530.2943444807072,94.0,,,117.0,False
102701,Marcelo Rios,1727.4668536081322,44.0,-38.5358612447219,-24.0,,,1781.8568544321834,19.0,0.5888445062491883,-12.0,1644.6205144267674,57.0,-3.9694254521848507,-22.0,1483.8000953545618,769.0,,,1591.012165987598,37.0,-46.92972869973664,-17.0,537.0,False
101990,Richard Krajicek,1722.6985010744268,45.0,-52.23309054148717,-27.0,,,1692.1250816956438,46.0,-35.09848482143275,-25.0,1680.5789696672384,36.0,-1.6890909131300305,-20.0,1702.9648361612137,22.0,-20.248444713995923,-19.0,1718.562731970801,4.0,8.807196860034082,3.0,593.0,False
207925,Flavio Cobolli,1719.6971347300816,46.0,-3.443696222353992,-1.0,14.0,2340.0,1589.2568162983414,145.0,39.67424398036542,77.0,1692.0349257633013,34.0,-8.378906241290451,-4.0,1580.0474276349262,93.0,66.15667837741557,146.0,,,,,180.0,True
126094,Andrey Rublev,1714.8553822634221,47.0,-45.559921838538685,-16.0,13.0,2460.0,1667.9939641318797,64.0,-11.804054593854971,-8.0,1729.8081899059566,19.0,22.632221539044167,8.0,1589.714584688223,81.0,-47.707701541750566,-39.0,,,,,609.0,True
126774,Stefanos Tsitsipas,1712.9707062000605,48.0,51.82436087535871,26.0,79.0,740.0,1690.063135796337,49.0,15.375899566110775,9.0,1771.3562511483408,12.0,-17.70926094683864,0.0,1543.9292795331048,152.0,-35.37719976667677,-70.0,,,,,572.0,True
206909,Brandon Nakashima,1711.402239276301,49.0,59.131730679603606,34.0,35.0,1295.0,1677.7534848913224,59.0,49.44365665060559,35.0,1541.9677103878728,225.0,9.602282005214647,21.0,1583.009710856667,88.0,37.794317543810166,56.0,,,,,274.0,True
207830,Tomas Machac,1710.2556877369782,50.0,22.95419040803995,10.0,43.0,1080.0,1684.2444481741225,54.0,5.430880791089521,2.0,1597.3261768692462,111.0,50.5186310024676,94.0,1500.856402063596,377.0,,,,,,,151.0,True
