player_id,surface,matches,wins,losses,win_rate,surface_elo,surface_elo_rank
100772,Clay,3,1,2,0.3333,1487.6348242061274,837.0
100772,Grass,3,1,2,0.3333,1487.5999923740492,675.0
100773,Grass,1,0,1,0.0,1488.379634333047,600.0
100782,Clay,18,10,8,0.5556,1516.9485160723973,332.0
100782,Hard,4,0,4,0.0,1458.2148454444148,1353.0
100782,Carpet,4,2,2,0.5,1501.214143929783,183.0
100782,Grass,1,0,1,0.0,1488.0281251577626,620.0
100790,Hard,2,1,1,0.5,1502.0371406477684,486.0
100800,Clay,35,14,21,0.4,1457.8668204883086,1304.0
100800,Hard,8,1,7,0.125,1428.940269365317,1572.0
100800,Carpet,1,0,1,0.0,1486.4312723587643,393.0
100800,Grass,1,0,1,0.0,1490.6674095752733,517.0
100809,Clay,12,3,9,0.25,1447.3431909269566,1384.0
100809,Hard,3,1,2,0.3333,1492.55667733419,644.0
100809,Carpet,2,0,2,0.0,1478.451794236193,453.0
100809,Grass,1,0,1,0.0,1487.9856905714691,647.0
100815,Hard,23,8,15,0.3478,1441.9060793692988,1495.0
100815,Carpet,4,2,2,0.5,1502.2908347576617,173.0
100815,Grass,4,0,4,0.0,1456.5557394986058,1075.0
100815,Clay,2,0,2,0.0,1476.0,1088.0
100829,Clay,19,9,10,0.4737,1490.0299417057643,692.0
100829,Carpet,9,2,7,0.2222,1446.8891375789226,608.0
100829,Hard,6,1,5,0.1667,1461.3359325242325,1318.0
100829,Grass,5,3,2,0.6,1514.739722168346,259.0
100836,Hard,6,3,3,0.5,1497.8438530743902,543.0
100836,Grass,3,1,2,0.3333,1489.2134092984395,568.0
100836,Carpet,2,1,1,0.5,1499.5999923740492,196.0
100837,Hard,54,22,32,0.4074,1466.180623021705,1248.0
100837,Grass,33,17,16,0.5152,1507.556447073619,306.0
100837,Carpet,23,7,16,0.3043,1449.3127558875763,604.0
100837,Clay,3,0,3,0.0,1460.6632545441623,1274.0
100855,Hard,25,9,16,0.36,1447.5232876395617,1458.0
100855,Grass,5,2,3,0.4,1492.5817352420256,475.0
100855,Carpet,4,1,3,0.25,1480.477703913398,438.0
100855,Clay,1,0,1,0.0,1487.9985860647278,816.0
100857,Clay,1,0,1,0.0,1488.0,794.0
100857,Hard,1,0,1,0.0,1485.7999038474948,954.0
100864,Clay,3,1,2,0.3333,1491.1834531109344,655.0
100864,Grass,3,2,1,0.6667,1511.9723683047623,274.0
100864,Hard,3,0,3,0.0,1465.6102221118208,1257.0
100865,Clay,4,1,3,0.25,1478.4421546718738,1035.0
100866,Hard,2,0,2,0.0,1477.397946229944,1100.0
100870,Hard,49,17,32,0.3469,1403.1122678325055,1645.0
100870,Grass,29,18,11,0.6207,1565.2224231151808,113.0
100870,Carpet,19,8,11,0.4211,1470.639281970521,516.0
100870,Clay,4,1,3,0.25,1482.661386424799,961.0
100876,Carpet,5,1,4,0.2,1468.9706619237122,526.0
100876,Hard,1,0,1,0.0,1488.4005068767942,802.0
100892,Carpet,1,0,1,0.0,1488.0,339.0
100894,Clay,4,1,3,0.25,1476.665464435743,1069.0
100901,Grass,4,2,2,0.5,1499.5474369381632,412.0
100901,Hard,4,1,3,0.25,1475.6525157807603,1132.0
100901,Carpet,2,0,2,0.0,1475.7050586019561,482.0
100904,Clay,1,0,1,0.0,1487.6764044704871,833.0
100917,Carpet,2,1,1,0.5,1499.585699413623,202.0
100920,Hard,1,0,1,0.0,1488.0,827.0
100923,Hard,97,48,49,0.4948,1499.2658015216539,527.0
100923,Grass,42,27,15,0.6429,1574.6949856317935,99.0
100923,Carpet,37,18,19,0.4865,1514.782194605552,125.0
100923,Clay,20,10,10,0.5,1504.551837291196,450.0
100926,Hard,2,0,2,0.0,1474.8622798516985,1146.0
100926,Carpet,1,0,1,0.0,1488.0,329.0
100926,Grass,1,0,1,0.0,1491.085107567055,500.0
100930,Clay,2,0,2,0.0,1476.414300586377,1075.0
100930,Carpet,1,0,1,0.0,1489.1057756336877,297.0
100935,Carpet,1,0,1,0.0,1487.9856905714691,349.0
100936,Clay,47,17,30,0.3617,1430.3262489444032,1480.0
100936,Carpet,29,15,14,0.5172,1555.7942771315156,67.0
100936,Grass,27,17,10,0.6296,1545.8451120463324,148.0
100936,Hard,17,4,13,0.2353,1431.460104300844,1555.0
100939,Grass,2,0,2,0.0,1476.414300586377,869.0
100942,Clay,2,0,2,0.0,1477.6609560410552,1055.0
100943,Clay,4,0,4,0.0,1455.1616086731613,1324.0
100943,Carpet,3,1,2,0.3333,1490.674605725125,264.0
100943,Hard,2,1,1,0.5,1500.3116097213892,506.0
100944,Hard,30,15,15,0.5,1557.8561144902612,206.0
100944,Clay,23,8,15,0.3478,1431.1726230034428,1478.0
100944,Carpet,5,1,4,0.2,1468.4822167267432,529.0
100946,Hard,4,2,2,0.5,1497.0984636932503,554.0
100946,Carpet,2,0,2,0.0,1478.389345796425,454.0
100946,Grass,1,0,1,0.0,1488.827614673444,580.0
100949,Carpet,2,1,1,0.5,1499.585699413623,200.0
100950,Clay,3,1,2,0.3333,1487.2251957009184,859.0
100950,Carpet,2,0,2,0.0,1476.9637154093268,469.0
100950,Hard,1,0,1,0.0,1487.5714076300158,873.0
100954,Hard,80,38,42,0.475,1487.8549220421035,850.0
100954,Clay,55,26,29,0.4727,1533.75832585623,254.0
