player_id,player_name,country,is_active,atp_rank,atp_points,overall_elo,elo_rank,best_surface,matches,last_10_record,last_30_record
127157,Daniel Altmaier,GER,True,57.0,930.0,1583.253830619868,189.0,Clay,209.0,5-5,13-17
209098,Hamad Medjedovic,SRB,True,58.0,894.0,1625.140424599977,120.0,Hard,91.0,5-5,14-16
200116,Camilo Ugo Carabelli,ARG,True,59.0,890.0,1559.3894517977908,249.0,Clay,87.0,5-5,14-16
202058,Thiago Agustin Tirante,ARG,True,60.0,887.0,1663.670912117291,74.0,Clay,55.0,6-4,19-11
200615,Alexei Popyrin,AUS,True,61.0,870.0,1612.8545509968878,133.0,Clay,270.0,5-5,10-20
209920,Raphael Collignon,BEL,True,62.0,866.0,1613.547234732826,132.0,Hard,46.0,4-6,17-13
202385,Jenson Brooksby,USA,True,63.0,865.0,1638.838269790325,103.0,Hard,140.0,6-4,12-18
202104,Sebastian Baez,ARG,True,64.0,860.0,1603.9330145352715,143.0,Clay,255.0,5-5,14-16
105916,Marton Fucsovics,HUN,True,65.0,859.0,1623.0561684619945,123.0,Hard,354.0,3-7,11-19
200240,Vit Kopriva,CZE,True,66.0,856.0,1577.0408495579418,198.0,Clay,72.0,3-7,16-14
206499,Aleksandar Kovacevic,USA,True,67.0,837.0,1476.162076097248,1354.0,Hard,114.0,2-8,11-19
208882,Roman Andres Burruchaga,ARG,True,68.0,833.0,1560.708945048755,243.0,Clay,35.0,5-5,15-15
212021,Martin Landaluce,ESP,True,69.0,827.0,1515.9851703994843,449.0,Hard,36.0,3-7,13-17
132283,Lorenzo Sonego,ITA,True,70.0,815.0,1582.8624253633996,190.0,Hard,370.0,5-5,14-16
209226,Adolfo Daniel Vallejo,PAR,True,71.0,786.0,1523.694597991003,401.0,Clay,17.0,4-6,8-9
209976,Dino Prizmic,CRO,True,72.0,785.0,1560.5277031902785,245.0,Clay,41.0,6-4,14-16
208233,Mattia Bellucci,ITA,True,73.0,777.0,1551.8172151819292,271.0,Grass,67.0,5-5,12-18
