player_id,player_name,match_index,elo
100529,Kevin Curren,4441,1496.3704419643939
100529,Kevin Curren,4484,1484.1340693727066
100529,Kevin Curren,4753,1494.1599474120658
100529,Kevin Curren,4768,1513.6283144551799
100529,Kevin Curren,4776,1500.296776401095
100529,Kevin Curren,4796,1512.1625894489644
100529,Kevin Curren,4816,1522.947855810779
100529,Kevin Curren,4827,1515.9840440498087
100529,Kevin Curren,4997,1505.4736429311954
100529,Kevin Curren,5071,1517.0477764239317
100529,Kevin Curren,5091,1510.1483494428292
100529,Kevin Curren,5302,1505.8789229246806
100532,Johan Kriek,1354,1490.9204155015364
100532,Johan Kriek,1460,1480.505434565564
100532,Johan Kriek,1640,1470.0455833931624
100532,Johan Kriek,1763,1457.8762191341411
100532,Johan Kriek,2086,1447.32403580665
100532,Johan Kriek,2622,1438.2079712355303
100532,Johan Kriek,2727,1451.485604921288
100532,Johan Kriek,2742,1466.0095506541386
100532,Johan Kriek,2748,1458.088622468982
100532,Johan Kriek,3270,1447.414153116849
100581,John McEnroe,245,1512.106713666797
100581,John McEnroe,255,1524.1435598109508
100581,John McEnroe,260,1535.8345245622047
100581,John McEnroe,263,1523.8467569407362
100581,John McEnroe,343,1534.2692948032552
100581,John McEnroe,359,1544.3580405531743
100581,John McEnroe,370,1556.1432455046204
100581,John McEnroe,372,1569.1161898094344
100581,John McEnroe,444,1578.7719065458912
100581,John McEnroe,629,1563.7360214634286
100581,John McEnroe,759,1573.5380318609205
100581,John McEnroe,771,1583.5229174884014
100581,John McEnroe,777,1574.2000948321102
100581,John McEnroe,965,1559.6953705264054
100581,John McEnroe,1422,1546.8951501573376
100581,John McEnroe,1503,1556.8359468480855
100581,John McEnroe,1533,1567.8421431471513
100581,John McEnroe,1548,1561.0532490911808
100581,John McEnroe,1736,1568.9936585554938
100581,John McEnroe,1744,1554.2879830414183
100581,John McEnroe,1787,1566.6250106436548
100581,John McEnroe,1797,1554.5893721106543
100581,John McEnroe,2110,1563.5426051259637
100581,John McEnroe,2123,1572.852053613684
100581,John McEnroe,2130,1561.0390203630166
100581,John McEnroe,2146,1569.4586005057417
100581,John McEnroe,2160,1578.5270038740719
100581,John McEnroe,2163,1569.5695978877966
100581,John McEnroe,2250,1579.108795163379
100581,John McEnroe,2285,1588.399544399963
100581,John McEnroe,2303,1577.0975597558302
100581,John McEnroe,2424,1585.7128140094014
100581,John McEnroe,2438,1596.9231134413087
100581,John McEnroe,2445,1608.2784991996893
100581,John McEnroe,2449,1620.3632709698113
100581,John McEnroe,2451,1608.4960110123222
100581,John McEnroe,2596,1617.5856571003792
100581,John McEnroe,2608,1624.466205067848
100581,John McEnroe,2614,1611.2175812115681
100581,John McEnroe,2901,1621.5542806254675
