match_id,player_1_id,player_2_id,player_1_name,player_2_name,player_1_win_probability,player_2_win_probability,predicted_winner_id,predicted_winner_name,tournament_name,surface,round,match_date,ELO_PRE_DIFF,ELO_SURFACE_PRE_DIFF,ATP_RANK_DIFF,ATP_POINT_DIFF,H2H_DIFF,H2H_SURFACE_DIFF,confidence,confidence_band,product_confidence_band,explanation_risk_level,model_agreement_score,visible_signal_agreement_score,visible_signal_conflict_reasons,recommended_explanation_copy,favorite_player_id,favorite_player_name,underdog_player_id,underdog_player_name,favorite_reason_group
2026-08-13-cincinnati-united-states-1st-round-qualifying-111456-200059,111456,200059,Mackenzie Mcdonald,Yibing Wu,0.3134479522705078,0.6865520477294922,200059,Yibing Wu,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,-32.63714386105539,-78.17260732296518,28.0,-131.0,0.0,0.0,0.6865520477294922,Lean,Moderate model agreement,low,1.0,1.0,,"The model favors Yibing Wu, with enough support to treat this as a moderate-confidence prediction.",200059,Yibing Wu,111456,Mackenzie Mcdonald,overall_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-106218-210012,106218,210012,Marcos Giron,Henrique Rocha,0.8864346146583557,0.1135653853416442,106218,Marcos Giron,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,124.12300131965183,86.36685677084438,-38.0,213.0,0.0,0.0,0.8864346146583557,Moderate model confidence,Strong model agreement,low,1.0,1.0,,"The model favors Marcos Giron, and the visible pre-match signals mostly point in the same direction.",106218,Marcos Giron,210012,Henrique Rocha,overall_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-200711-207985,200711,207985,Nicolas Mejia,Jacob Fearnley,0.5005674958229065,0.4994325041770935,200711,Nicolas Mejia,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,-41.63450666016388,-29.695421547982733,21.0,-91.0,0.0,0.0,0.5005674958229065,Toss-up,Moderate model agreement,medium,1.0,0.0,overall Elo; surface Elo; ATP rank; ATP points,"The model favors Nicolas Mejia, with enough support to treat this as a moderate-confidence prediction.",200711,Nicolas Mejia,207985,Jacob Fearnley,model_probability
2026-08-13-cincinnati-united-states-1st-round-qualifying-207686-208010,207686,208010,Alexander Shevchenko,Pablo Llamas Ruiz,0.9163079857826232,0.0836920142173767,207686,Alexander Shevchenko,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,17.542744860664698,80.69888854587225,-40.0,210.0,0.0,0.0,0.9163079857826232,High model confidence,Strong model agreement,low,1.0,1.0,,"The model favors Alexander Shevchenko, and the visible pre-match signals mostly point in the same direction.",207686,Alexander Shevchenko,208010,Pablo Llamas Ruiz,overall_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-208013-106331,208013,106331,Dane Sweeny,Christopher Oconnell,0.3357298672199249,0.6642701327800751,106331,Christopher Oconnell,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,-22.59360275760309,-53.1506103184272,-5.0,7.0,-0.0,-0.0,0.6642701327800751,Lean,Moderate model agreement,medium,1.0,0.5,ATP rank; ATP points,"The model favors Christopher Oconnell, with enough support to treat this as a moderate-confidence prediction.",106331,Christopher Oconnell,208013,Dane Sweeny,overall_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-124116-105477,124116,105477,Sebastian Ofner,Marco Trungelliti,0.9034974575042723,0.0965025424957275,124116,Sebastian Ofner,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,32.337948138076854,39.84399575758562,33.0,-178.0,-1.0,-0.0,0.9034974575042723,High model confidence,Model-driven pick,medium,1.0,0.4,ATP rank; ATP points; head-to-head,"The model favors Sebastian Ofner, but some visible signals are mixed. Review the comparison table before over-interpreting the edge.",124116,Sebastian Ofner,105477,Marco Trungelliti,overall_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-207681-105453,207681,105453,Francisco Comesana,Kei Nishikori,0.2142372280359268,0.7857627719640732,105453,Kei Nishikori,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,-140.2596035735296,-168.8102360488333,-621.0,588.0,-0.0,-0.0,0.7857627719640732,Moderate model confidence,Moderate model agreement,medium,1.0,0.5,ATP rank; ATP points,"The model favors Kei Nishikori, with enough support to treat this as a moderate-confidence prediction.",105453,Kei Nishikori,207681,Francisco Comesana,overall_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-212216-208659,212216,208659,Trevor Svajda,Giovanni Mpetshi Perricard,0.067003384232521,0.9329966157674788,208659,Giovanni Mpetshi Perricard,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,-61.80410244395876,-33.21127736806238,349.0,-604.0,-0.0,-0.0,0.9329966157674788,High model confidence,Strong model agreement,low,1.0,1.0,,"The model favors Giovanni Mpetshi Perricard, and the visible pre-match signals mostly point in the same direction.",208659,Giovanni Mpetshi Perricard,212216,Trevor Svajda,overall_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-121411-210116,121411,210116,Moez Echargui,Michael Zheng,0.407423734664917,0.592576265335083,210116,Michael Zheng,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,-101.02448817228992,-21.8775553419041,33.0,-173.0,0.0,0.0,0.592576265335083,Toss-up,Moderate model agreement,low,1.0,1.0,,"The model favors Michael Zheng, with enough support to treat this as a moderate-confidence prediction.",210116,Michael Zheng,121411,Moez Echargui,overall_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-209409-111805,209409,111805,Coleman Wong,Seong Chan Hong,0.8635316491127014,0.1364683508872985,209409,Coleman Wong,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,70.48578224892253,99.9091647329285,-2192.0,587.0,0.0,0.0,0.8635316491127014,Moderate model confidence,Strong model agreement,low,1.0,1.0,,"The model favors Coleman Wong, and the visible pre-match signals mostly point in the same direction.",209409,Coleman Wong,111805,Seong Chan Hong,overall_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-202261-213987,202261,213987,Otto Virtanen,Vignesh Gogineni,0.1402646750211715,0.8597353249788284,213987,Vignesh Gogineni,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,32.901396955783184,-9.89382074070818,-982.0,542.0,-0.0,-0.0,0.8597353249788284,Moderate model confidence,Low visible-signal agreement,high,1.0,0.25,overall Elo; ATP rank; ATP points,"The model favors Vignesh Gogineni, but visible pre-match signals do not strongly agree. Treat this as a higher-risk prediction.",213987,Vignesh Gogineni,202261,Otto Virtanen,surface_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-106198-200647,106198,200647,Hugo Dellien,Sho Shimabukuro,0.0052073989063501,0.99479260109365,200647,Sho Shimabukuro,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,-84.78204744234495,-54.20614750089362,49.0,-249.0,-0.0,-0.0,0.99479260109365,High model confidence,Strong model agreement,low,1.0,1.0,,"The model favors Sho Shimabukuro, and the visible pre-match signals mostly point in the same direction.",200647,Sho Shimabukuro,106198,Hugo Dellien,overall_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-200670-210389,200670,210389,J J Wolf,Toby Samuel,0.868044376373291,0.1319556236267089,200670,J J Wolf,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,-12.55690466765418,16.20092924976848,451.0,-506.0,0.0,0.0,0.868044376373291,Moderate model confidence,Low visible-signal agreement,high,1.0,0.25,overall Elo; ATP rank; ATP points,"The model favors J J Wolf, but visible pre-match signals do not strongly agree. Treat this as a higher-risk prediction.",200670,J J Wolf,210389,Toby Samuel,surface_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-149282-200384,149282,200384,Nicolai Budkov Kjaer,Hugo Gaston,0.5606828331947327,0.4393171668052673,149282,Nicolai Budkov Kjaer,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,-24.955454568221967,-6.764538556251409,54.0,-271.0,-0.0,-0.0,0.5606828331947327,Toss-up,Moderate model agreement,medium,1.0,0.0,overall Elo; surface Elo; ATP rank; ATP points,"The model favors Nicolai Budkov Kjaer, with enough support to treat this as a moderate-confidence prediction.",149282,Nicolai Budkov Kjaer,200384,Hugo Gaston,model_probability
2026-08-13-cincinnati-united-states-1st-round-qualifying-208021-126129,208021,126129,Kyrian Jacquet,Billy Harris,0.056674662977457,0.943325337022543,126129,Billy Harris,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,45.93505561909342,64.27844634529924,-43.0,172.0,-0.0,-0.0,0.943325337022543,High model confidence,Low visible-signal agreement,high,1.0,0.0,overall Elo; surface Elo; ATP rank; ATP points,"The model favors Billy Harris, but visible pre-match signals do not strongly agree. Treat this as a higher-risk prediction.",126129,Billy Harris,208021,Kyrian Jacquet,model_probability
2026-08-13-cincinnati-united-states-1st-round-qualifying-208852-102093,208852,102093,Stefanos Sakellaridis,Martin Damm,0.0247948970645666,0.9752051029354334,102093,Martin Damm,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,-103.7223807779444,-87.25232286044888,51.0,-260.0,-0.0,-0.0,0.9752051029354334,High model confidence,Strong model agreement,low,1.0,1.0,,"The model favors Martin Damm, and the visible pre-match signals mostly point in the same direction.",102093,Martin Damm,208852,Stefanos Sakellaridis,overall_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-208169-200615,208169,200615,Titouan Droguet,Alexei Popyrin,0.076601043343544,0.923398956656456,200615,Alexei Popyrin,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,-37.21583130901854,-23.95170537740705,16.0,-98.0,-0.0,-0.0,0.923398956656456,High model confidence,Strong model agreement,low,1.0,1.0,,"The model favors Alexei Popyrin, and the visible pre-match signals mostly point in the same direction.",200615,Alexei Popyrin,208169,Titouan Droguet,overall_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-210464-126846,210464,126846,Darwin Blanch,Aleksandar Vukic,0.1720669269561767,0.8279330730438232,126846,Aleksandar Vukic,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,-67.81843451815621,-78.01733918489572,121.0,-375.0,-0.0,-0.0,0.8279330730438232,Moderate model confidence,Strong model agreement,low,1.0,1.0,,"The model favors Aleksandar Vukic, and the visible pre-match signals mostly point in the same direction.",126846,Aleksandar Vukic,210464,Darwin Blanch,overall_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-210136-207494,210136,207494,Mark Lajal,Dalibor Svrcina,0.8389565944671631,0.1610434055328369,210136,Mark Lajal,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,-25.45177383984196,-35.60916229474583,73.0,-251.0,0.0,0.0,0.8389565944671631,Moderate model confidence,Low visible-signal agreement,high,1.0,0.0,overall Elo; surface Elo; ATP rank; ATP points,"The model favors Mark Lajal, but visible pre-match signals do not strongly agree. Treat this as a higher-risk prediction.",210136,Mark Lajal,207494,Dalibor Svrcina,model_probability
