"ranking_date","player_id","player_name","atp_rank","atp_points","atp_points_change","atp_rank_change","country","age"
"2026-01-05","207989","Carlos Alcaraz","1","12050","","","ESP","22"
"2026-01-05","206173","Jannik Sinner","2","11500","","","ITA","24"
"2026-01-05","100644","Alexander Zverev","3","5105","","","GER","28"
"2026-01-05","104925","Novak Djokovic","4","4780","","","SRB","38"
"2026-01-05","","Felix Auger-Aliassime","5","4190","","","",""
"2026-01-05","200282","Alex De Minaur","6","4080","","","AUS","26"
"2026-01-05","207518","Lorenzo Musetti","7","3990","","","ITA","23"
"2026-01-05","210097","Ben Shelton","8","3960","","","USA","23"
"2026-01-05","126203","Taylor Fritz","9","3840","","","USA","28"
"2026-01-05","207733","Jack Draper","10","2990","","","GBR","24"
"2026-01-05","122330","Alexander Bublik","11","2845","","","KAZ","28"
"2026-01-05","134770","Casper Ruud","12","2750","","","NOR","27"
"2026-01-05","106421","Daniil Medvedev","13","2710","","","RUS","29"
"2026-01-05","200221","Alejandro Davidovich Fokina","14","2585","","","ESP","26"
"2026-01-05","208029","Holger Rune","15","2580","","","DEN","22"
"2026-01-05","126094","Andrey Rublev","16","2510","","","RUS","28"
"2026-01-05","111575","Karen Khachanov","17","2320","","","RUS","29"
"2026-01-05","210084","Jakub Mensik","18","2130","","","CZE","20"
"2026-01-05","208103","Jiri Lehecka","19","2075","","","CZE","24"
"2026-01-05","126205","Tommy Paul","20","2050","","","USA","28"
"2026-01-05","202103","Francisco Cerundolo","21","2035","","","ARG","27"
"2026-01-05","207925","Flavio Cobolli","22","1955","","","ITA","23"
"2026-01-05","133430","Denis Shapovalov","23","1665","","","CAN","26"
"2026-01-05","209260","Luciano Darderi","24","1579","","","ITA","23"
"2026-01-05","134868","Tallon Griekspoor","25","1565","","","NED","29"
"2026-01-05","210530","Learner Tien","26","1540","","","USA","20"
"2026-01-05","126239","Arthur Rinderknech","27","1527","","","FRA","30"
"2026-01-05","111815","Cameron Norrie","28","1523","","","GBR","30"
"2026-01-05","211663","Joao Fonseca","29","1510","","","BRA","19"
"2026-01-05","126207","Frances Tiafoe","30","1485","","","USA","27"
"2026-01-05","200473","Valentin Vacherot","31","1469","","","MON","27"
"2026-01-05","144895","Corentin Moutet","32","1383","","","FRA","26"
"2026-01-05","206909","Brandon Nakashima","33","1380","","","USA","24"
"2026-01-05","126774","Stefanos Tsitsipas","34","1380","","","GRE","27"
"2026-01-05","207830","Tomas Machac","35","1360","","","CZE","25"
"2026-01-05","200005","Ugo Humbert","36","1355","","","FRA","27"
"2026-01-05","210506","Alex Michelsen","37","1300","","","USA","21"
"2026-01-05","144719","Jaume Munar","38","1295","","","ESP","28"
"2026-01-05","132283","Lorenzo Sonego","39","1240","","","ITA","30"
