"ranking_date","player_id","player_name","atp_rank","atp_points","atp_points_change","atp_rank_change","country","age"
"2026-04-13","206173","Jannik Sinner","1","13350","950.0","1.0","ITA","24"
"2026-04-13","207989","Carlos Alcaraz","2","13240","-350.0","-1.0","ESP","22"
"2026-04-13","100644","Alexander Zverev","3","5555","350.0","0.0","GER","28"
"2026-04-13","104925","Novak Djokovic","4","4710","-10.0","0.0","SRB","38"
"2026-04-13","","Felix Auger-Aliassime","5","4100","100.0","2.0","",""
"2026-04-13","210097","Ben Shelton","6","3900","0.0","2.0","USA","23"
"2026-04-13","200282","Alex De Minaur","7","3895","-200.0","-1.0","AUS","27"
"2026-04-13","126203","Taylor Fritz","8","3870","0.0","1.0","USA","28"
"2026-04-13","207518","Lorenzo Musetti","9","3625","-640.0","-4.0","ITA","24"
"2026-04-13","106421","Daniil Medvedev","10","3560","-50.0","0.0","RUS","30"
"2026-04-13","122330","Alexander Bublik","11","3445","100.0","0.0","KAZ","28"
"2026-04-13","134770","Casper Ruud","12","2625","0.0","0.0","NOR","27"
"2026-04-13","208103","Jiri Lehecka","13","2540","50.0","0.0","CZE","24"
"2026-04-13","111575","Karen Khachanov","14","2410","0.0","0.0","RUS","29"
"2026-04-13","126094","Andrey Rublev","15","2350","-50.0","0.0","RUS","28"
"2026-04-13","207925","Flavio Cobolli","16","2320","0.0","0.0","ITA","23"
"2026-04-13","200473","Valentin Vacherot","17","2168","350.0","6.0","MON","27"
"2026-04-13","126205","Tommy Paul","18","2065","0.0","0.0","USA","28"
"2026-04-13","202103","Francisco Cerundolo","19","2020","0.0","0.0","ARG","27"
"2026-04-13","126207","Frances Tiafoe","20","1965","-40.0","0.0","USA","28"
"2026-04-13","209260","Luciano Darderi","21","1920","0.0","0.0","ITA","24"
"2026-04-13","210530","Learner Tien","22","1885","0.0","0.0","USA","20"
"2026-04-13","200221","Alejandro Davidovich Fokina","23","1870","-350.0","-6.0","ESP","26"
"2026-04-13","111815","Cameron Norrie","24","1778","25.0","0.0","GBR","30"
"2026-04-13","210084","Jakub Mensik","25","1700","0.0","1.0","CZE","20"
"2026-04-13","126239","Arthur Rinderknech","26","1676","25.0","1.0","FRA","30"
"2026-04-13","208029","Holger Rune","27","1620","-10.0","2.0","DEN","22"
"2026-04-13","207733","Jack Draper","28","1610","-100.0","-3.0","GBR","24"
"2026-04-13","144869","Tomas Martin Etcheverry","29","1590","50.0","1.0","ARG","26"
"2026-04-13","209950","Arthur Fils","30","1440","-200.0","-2.0","FRA","21"
"2026-04-13","144895","Corentin Moutet","31","1433","0.0","0.0","FRA","26"
"2026-04-13","134868","Tallon Griekspoor","32","1430","0.0","0.0","NED","29"
"2026-04-13","206909","Brandon Nakashima","33","1385","0.0","0.0","USA","24"
"2026-04-13","200005","Ugo Humbert","34","1320","0.0","0.0","FRA","27"
"2026-04-13","211663","Joao Fonseca","35","1315","200.0","5.0","BRA","19"
"2026-04-13","210506","Alex Michelsen","36","1200","0.0","-1.0","USA","21"
"2026-04-13","209113","Gabriel Diallo","37","1175","0.0","-1.0","CAN","24"
"2026-04-13","144719","Jaume Munar","38","1175","0.0","-1.0","ESP","28"
"2026-04-13","133430","Denis Shapovalov","39","1120","0.0","-1.0","CAN","26"
"2026-04-13","200267","Zizou Bergs","40","1110","100.0","7.0","BEL","26"
"2026-04-13","209279","Terence Atmane","41","1108","50.0","4.0","FRA","24"
"2026-04-13","206681","Fabian Marozsan","42","1105","10.0","1.0","HUN","26"
"2026-04-13","200624","Sebastian Korda","43","1100","0.0","-2.0","USA","25"
"2026-04-13","208363","Mariano Navone","44","1085","-15.0","-2.0","ARG","25"
"2026-04-13","126214","Alejandro Tabilo","45","1068","-50.0","-6.0","CHI","28"
"2026-04-13","105173","Adrian Mannarino","46","1025","-25.0","0.0","FRA","37"
"2026-04-13","207830","Tomas Machac","47","980","50.0","6.0","CZE","25"
"2026-04-13","105227","Marin Cilic","48","950","0.0","3.0","CRO","37"
"2026-04-13","122298","Botic Van De Zandschulp","49","931","0.0","3.0","NED","30"
"2026-04-13","210319","Ethan Quinn","50","927","16.0","4.0","USA","22"
"2026-04-13","105870","Yannick Hanfmann","51","899","0.0","4.0","GER","34"
"2026-04-13","132686","Nuno Borges","52","895","-75.0","-2.0","POR","29"
"2026-04-13","208659","Giovanni Mpetshi Perricard","53","890","0.0","3.0","FRA","22"
"2026-04-13","105916","Marton Fucsovics","54","887","10.0","4.0","HUN","34"
