"ranking_date","player_id","player_name","atp_rank","atp_points","atp_points_change","atp_rank_change","country","age"
"2026-03-16","207989","Carlos Alcaraz","1","13550","0.0","0.0","ESP","22"
"2026-03-16","206173","Jannik Sinner","2","11400","1000.0","0.0","ITA","24"
"2026-03-16","104925","Novak Djokovic","3","5370","90.0","0.0","SRB","38"
"2026-03-16","100644","Alexander Zverev","4","4905","350.0","0.0","GER","28"
"2026-03-16","207518","Lorenzo Musetti","5","4365","-40.0","0.0","ITA","24"
"2026-03-16","200282","Alex De Minaur","6","4185","-50.0","0.0","AUS","27"
"2026-03-16","126203","Taylor Fritz","7","4170","-50.0","0.0","USA","28"
"2026-03-16","","Felix Auger-Aliassime","8","4000","50.0","1.0","",""
"2026-03-16","210097","Ben Shelton","9","3860","-150.0","-1.0","USA","23"
"2026-03-16","106421","Daniil Medvedev","10","3610","250.0","1.0","RUS","30"
"2026-03-16","122330","Alexander Bublik","11","3385","-20.0","-1.0","KAZ","28"
"2026-03-16","134770","Casper Ruud","12","2715","90.0","1.0","NOR","27"
"2026-03-16","210084","Jakub Mensik","13","2650","0.0","-1.0","CZE","20"
"2026-03-16","207925","Flavio Cobolli","14","2520","40.0","1.0","ITA","23"
"2026-03-16","111575","Karen Khachanov","15","2410","-40.0","1.0","RUS","29"
"2026-03-16","126094","Andrey Rublev","16","2400","0.0","1.0","RUS","28"
"2026-03-16","200221","Alejandro Davidovich Fokina","17","2260","70.0","2.0","ESP","26"
"2026-03-16","209260","Luciano Darderi","18","2084","-20.0","3.0","ITA","24"
"2026-03-16","202103","Francisco Cerundolo","19","2020","-150.0","1.0","ARG","27"
"2026-03-16","126207","Frances Tiafoe","20","1920","50.0","2.0","USA","28"
"2026-03-16","210530","Learner Tien","21","1860","175.0","6.0","USA","20"
"2026-03-16","208103","Jiri Lehecka","22","1850","0.0","1.0","CZE","24"
"2026-03-16","126205","Tommy Paul","23","1765","-50.0","1.0","USA","28"
"2026-03-16","111815","Cameron Norrie","24","1753","150.0","5.0","GBR","30"
"2026-03-16","200473","Valentin Vacherot","25","1741","50.0","1.0","MON","27"
"2026-03-16","207733","Jack Draper","26","1710","-800.0","-12.0","GBR","24"
"2026-03-16","126239","Arthur Rinderknech","27","1657","40.0","1.0","FRA","30"
"2026-03-16","208029","Holger Rune","28","1640","-650.0","-10.0","DEN","22"
