"ranking_date","player_id","player_name","atp_rank","atp_points","atp_points_change","atp_rank_change","country","age"
"2026-07-13","206173","Jannik Sinner","1","13450","0.0","0.0","ITA","24"
"2026-07-13","100644","Alexander Zverev","2","8480","1290.0","1.0","GER","29"
"2026-07-13","207989","Carlos Alcaraz","3","8160","-1300.0","-1.0","ESP","23"
"2026-07-13","","Felix Auger-Aliassime","4","4740","350.0","0.0","",""
"2026-07-13","200282","Alex De Minaur","5","4110","0.0","1.0","AUS","27"
"2026-07-13","210097","Ben Shelton","6","3770","-390.0","-1.0","USA","23"
"2026-07-13","104925","Novak Djokovic","7","3760","0.0","1.0","SRB","39"
"2026-07-13","106421","Daniil Medvedev","8","3670","90.0","1.0","RUS","30"
"2026-07-13","207925","Flavio Cobolli","9","3460","0.0","1.0","ITA","24"
"2026-07-13","126203","Taylor Fritz","10","3365","-400.0","-3.0","USA","28"
"2026-07-13","122330","Alexander Bublik","11","2810","190.0","0.0","KAZ","29"
"2026-07-13","208103","Jiri Lehecka","12","2510","150.0","2.0","CZE","24"
"2026-07-13","134770","Casper Ruud","13","2435","10.0","-1.0","NOR","27"
"2026-07-13","207518","Lorenzo Musetti","14","2315","-10.0","1.0","ITA","24"
"2026-07-13","210530","Learner Tien","15","2270","0.0","2.0","USA","20"
"2026-07-13","126094","Andrey Rublev","16","2230","-190.0","-3.0","RUS","28"
"2026-07-13","126207","Frances Tiafoe","17","2230","50.0","2.0","USA","28"
"2026-07-13","209260","Luciano Darderi","18","2210","-90.0","-2.0","ITA","24"
"2026-07-13","210084","Jakub Mensik","19","2205","-50.0","-1.0","CZE","20"
"2026-07-13","200221","Alejandro Davidovich Fokina","20","2160","100.0","3.0","ESP","27"
"2026-07-13","200473","Valentin Vacherot","21","2138","0.0","-1.0","MON","27"
"2026-07-13","202103","Francisco Cerundolo","22","2110","0.0","-1.0","ARG","27"
"2026-07-13","209950","Arthur Fils","23","1990","50.0","1.0","FRA","22"
"2026-07-13","126205","Tommy Paul","24","1975","50.0","1.0","USA","29"
"2026-07-13","212588","Rafael Jodar","25","1927","88.0","1.0","ESP","19"
"2026-07-13","111575","Karen Khachanov","26","1780","-300.0","-4.0","RUS","30"
"2026-07-13","211663","Joao Fonseca","27","1710","0.0","0.0","BRA","19"
"2026-07-13","126239","Arthur Rinderknech","28","1683","0.0","0.0","FRA","30"
"2026-07-13","200005","Ugo Humbert","29","1575","0.0","1.0","FRA","28"
"2026-07-13","144869","Tomas Martin Etcheverry","30","1460","0.0","2.0","ARG","26"
"2026-07-13","126214","Alejandro Tabilo","31","1438","10.0","2.0","CHI","29"
"2026-07-13","206909","Brandon Nakashima","32","1435","-50.0","-1.0","USA","24"
"2026-07-13","209860","Ignacio Buse","33","1413","38.0","1.0","PER","22"
"2026-07-13","208286","Matteo Arnaldi","34","1349","0.0","1.0","ITA","25"
"2026-07-13","200267","Zizou Bergs","35","1340","90.0","2.0","BEL","27"
"2026-07-13","209259","Arthur Fery","36","1297","750.0","78.0","GBR","24"
