"ranking_date","player_id","player_name","atp_rank","atp_points","atp_points_change","atp_rank_change","country","age"
"2026-05-18","206173","Jannik Sinner","1","14700","350.0","0.0","ITA","24"
"2026-05-18","207989","Carlos Alcaraz","2","11960","-1000.0","0.0","ESP","23"
"2026-05-18","100644","Alexander Zverev","3","5705","-100.0","0.0","GER","29"
"2026-05-18","104925","Novak Djokovic","4","4710","10.0","0.0","SRB","38"
"2026-05-18","","Felix Auger-Aliassime","5","4060","10.0","0.0","",""
"2026-05-18","210097","Ben Shelton","6","4030","0.0","0.0","USA","23"
"2026-05-18","106421","Daniil Medvedev","7","3760","300.0","2.0","RUS","30"
"2026-05-18","126203","Taylor Fritz","8","3720","-50.0","-1.0","USA","28"
"2026-05-18","200282","Alex De Minaur","9","3665","-90.0","-1.0","AUS","27"
"2026-05-18","122330","Alexander Bublik","10","3230","-125.0","1.0","KAZ","28"
"2026-05-18","207518","Lorenzo Musetti","11","3115","-300.0","-1.0","ITA","24"
"2026-05-18","207925","Flavio Cobolli","12","2790","40.0","0.0","ITA","24"
"2026-05-18","126094","Andrey Rublev","13","2780","190.0","1.0","RUS","28"
"2026-05-18","208103","Jiri Lehecka","14","2715","0.0","-1.0","CZE","24"
"2026-05-18","111575","Karen Khachanov","15","2320","100.0","0.0","RUS","29"
"2026-05-18","209260","Luciano Darderi","16","2260","370.0","4.0","ITA","24"
"2026-05-18","134770","Casper Ruud","17","2185","450.0","8.0","NOR","27"
"2026-05-18","200473","Valentin Vacherot","18","2103","-44.0","-2.0","MON","27"
"2026-05-18","209950","Arthur Fils","19","2040","-90.0","-2.0","FRA","21"
"2026-05-18","210530","Learner Tien","20","1940","70.0","1.0","USA","20"
"2026-05-18","126207","Frances Tiafoe","21","1905","40.0","1.0","USA","28"
"2026-05-18","111815","Cameron Norrie","22","1888","-30.0","-3.0","GBR","30"
"2026-05-18","200221","Alejandro Davidovich Fokina","23","1820","0.0","0.0","ESP","26"
"2026-05-18","126239","Arthur Rinderknech","24","1711","-25.0","0.0","FRA","30"
"2026-05-18","144869","Tomas Martin Etcheverry","25","1630","-30.0","1.0","ARG","26"
"2026-05-18","126205","Tommy Paul","26","1625","-350.0","-8.0","USA","29"
"2026-05-18","202103","Francisco Cerundolo","27","1570","-50.0","0.0","ARG","27"
"2026-05-18","210084","Jakub Mensik","28","1510","-90.0","0.0","CZE","20"
"2026-05-18","212588","Rafael Jodar","29","1461","188.0","5.0","ESP","19"
"2026-05-18","211663","Joao Fonseca","30","1435","0.0","-1.0","BRA","19"
"2026-05-18","134868","Tallon Griekspoor","31","1340","-20.0","0.0","NED","29"
"2026-05-18","144895","Corentin Moutet","32","1323","-90.0","-2.0","FRA","27"
"2026-05-18","206909","Brandon Nakashima","33","1295","0.0","-1.0","USA","24"
"2026-05-18","200005","Ugo Humbert","34","1280","0.0","-1.0","FRA","27"
"2026-05-18","126214","Alejandro Tabilo","35","1278","30.0","0.0","CHI","28"
"2026-05-18","210696","Alexander Blockx","36","1238","38.0","0.0","BEL","21"
"2026-05-18","133430","Denis Shapovalov","37","1170","0.0","0.0","CAN","27"
"2026-05-18","200267","Zizou Bergs","38","1150","10.0","1.0","BEL","26"
"2026-05-18","144719","Jaume Munar","39","1105","-50.0","-1.0","ESP","29"
"2026-05-18","207830","Tomas Machac","40","1080","-20.0","1.0","CZE","25"
"2026-05-18","210506","Alex Michelsen","41","1075","-15.0","1.0","USA","21"
"2026-05-18","208363","Mariano Navone","42","1066","20.0","2.0","ARG","25"
"2026-05-18","208029","Holger Rune","43","1060","-50.0","-3.0","DEN","23"
"2026-05-18","105173","Adrian Mannarino","44","1037","2.0","1.0","FRA","37"
"2026-05-18","105227","Marin Cilic","45","1010","30.0","2.0","CRO","37"
"2026-05-18","200624","Sebastian Korda","46","1000","-50.0","-3.0","USA","25"
"2026-05-18","200175","Miomir Kecmanovic","47","980","185.0","23.0","SRB","26"
"2026-05-18","209113","Gabriel Diallo","48","975","-25.0","-2.0","CAN","24"
"2026-05-18","210319","Ethan Quinn","49","974","-3.0","-1.0","USA","22"
"2026-05-18","132686","Nuno Borges","50","970","20.0","2.0","POR","29"
"2026-05-18","209279","Terence Atmane","51","938","-20.0","0.0","FRA","24"
"2026-05-18","206681","Fabian Marozsan","52","935","-40.0","-3.0","HUN","26"
"2026-05-18","122298","Botic Van De Zandschulp","53","935","37.0","1.0","NED","30"
"2026-05-18","207678","Juan Manuel Cerundolo","54","935","159.0","18.0","ARG","24"
"2026-05-18","105870","Yannick Hanfmann","55","899","20.0","4.0","GER","34"
"2026-05-18","209098","Hamad Medjedovic","56","894","90.0","11.0","SRB","22"
"2026-05-18","209860","Ignacio Buse","57","893","30.0","5.0","PER","22"
"2026-05-18","202058","Thiago Agustin Tirante","58","887","86.0","11.0","ARG","25"
"2026-05-18","105916","Marton Fucsovics","59","884","0.0","-2.0","HUN","34"
"2026-05-18","202385","Jenson Brooksby","60","872","10.0","3.0","USA","25"
"2026-05-18","200615","Alexei Popyrin","61","870","0.0","-1.0","AUS","26"
"2026-05-18","202104","Sebastian Baez","62","860","20.0","3.0","ARG","25"
"2026-05-18","200240","Vit Kopriva","63","856","-40.0","-8.0","CZE","28"
"2026-05-18","209920","Raphael Collignon","64","854","52.0","4.0","BEL","24"
"2026-05-18","127157","Daniel Altmaier","65","843","-17.0","-1.0","GER","27"
"2026-05-18","208882","Roman Andres Burruchaga","66","833","-52.0","-10.0","ARG","24"
"2026-05-18","211776","Martin Landaluce","67","827","188.0","27.0","ESP","20"
"2026-05-18","200116","Camilo Ugo Carabelli","68","825","-40.0","-7.0","ARG","26"
"2026-05-18","132283","Lorenzo Sonego","69","815","-15.0","-3.0","ITA","31"
"2026-05-18","209226","Adolfo Daniel Vallejo","70","786","83.0","14.0","PAR","22"
"2026-05-18","209976","Dino Prizmic","71","785","45.0","8.0","CRO","20"
"2026-05-18","208233","Mattia Bellucci","72","777","40.0","8.0","ITA","24"
"2026-05-18","208316","Valentin Royer","73","773","-15.0","-2.0","FRA","24"
"2026-05-18","207733","Jack Draper","74","760","-200.0","-24.0","GBR","24"
"2026-05-18","124187","Reilly Opelka","75","758","-10.0","-1.0","USA","28"
"2026-05-18","209070","Arthur Cazaux","76","757","-13.0","-3.0","FRA","23"
"2026-05-18","111794","Kamil Majchrzak","77","747","0.0","-1.0","POL","30"
"2026-05-18","128034","Hubert Hurkacz","78","740","-190.0","-25.0","POL","29"
"2026-05-18","","Jan-Lennard Struff","79","739","30.0","4.0","",""
"2026-05-18","208659","Giovanni Mpetshi Perricard","80","735","-145.0","-22.0","FRA","22"
"2026-05-18","105477","Marco Trungelliti","81","731","-12.0","-3.0","ARG","36"
"2026-05-18","126774","Stefanos Tsitsipas","82","725","-40.0","-7.0","GRE","27"
"2026-05-18","105902","James Duckworth","83","722","0.0","-2.0","AUS","34"
"2026-05-18","106218","Marcos Giron","84","705","-40.0","-7.0","USA","32"
"2026-05-18","208260","Zachary Svajda","85","696","30.0","5.0","USA","23"
"2026-05-18","","Daniel Merida","86","696","0.0","0.0","",""
"2026-05-18","106000","Damir Dzumhur","87","694","20.0","0.0","BIH","33"
"2026-05-18","111460","Quentin Halys","88","690","37.0","5.0","FRA","29"
"2026-05-18","","Aleksandr Shevchenko","89","689","-9.0","-4.0","",""
"2026-05-18","105807","Pablo Carreno Busta","90","685","22.0","1.0","ESP","34"
"2026-05-18","124116","Sebastian Ofner","91","671","-40.0","-9.0","AUT","30"
"2026-05-18","208118","Eliot Spizzirri","92","660","0.0","0.0","USA","24"
"2026-05-18","200059","Yibing Wu","93","655","-14.0","-5.0","CHN","26"
"2026-05-18","206499","Aleksandar Kovacevic","94","649","10.0","1.0","USA","27"
"2026-05-18","200516","Patrick Kypson","95","649","-20.0","-6.0","USA","26"
"2026-05-18","208286","Matteo Arnaldi","96","636","40.0","10.0","ITA","25"
"2026-05-18","207182","Emilio Nava","97","631","37.0","11.0","USA","24"
"2026-05-18","126127","Benjamin Bonzi","98","629","13.0","3.0","FRA","29"
"2026-05-18","105138","Roberto Bautista Agut","99","629","0.0","-1.0","ESP","38"
"2026-05-18","126846","Aleksandar Vukic","100","626","0.0","-1.0","AUS","30"
"2026-05-18","200443","Adam Walton","101","614","6.0","2.0","AUS","27"
"2026-05-18","208014","Rinky Hijikata","102","599","-38.0","-6.0","AUS","25"
"2026-05-18","209414","Luca Van Assche","103","599","-37.0","-6.0","FRA","22"
"2026-05-18","123828","Jan Choinski","104","599","73.0","18.0","GBR","29"
"2026-05-18","200647","Sho Shimabukuro","105","596","0.0","2.0","JPN","28"
"2026-05-18","144684","Alex Molcan","106","596","25.0","7.0","SVK","28"
"2026-05-18","126610","Matteo Berrettini","107","585","-40.0","-7.0","ITA","30"
"2026-05-18","124186","Alexandre Muller","108","581","-20.0","-3.0","FRA","29"
"2026-05-18","207411","Jesper De Jong","109","580","-30.0","-7.0","NED","25"
"2026-05-18","208169","Titouan Droguet","110","578","-16.0","-1.0","FRA","24"
"2026-05-18","207494","Dalibor Svrcina","111","577","30.0","5.0","CZE","23"
