"ranking_date","player_id","player_name","atp_rank","atp_points","atp_points_change","atp_rank_change","country","age"
"2026-06-08","206173","Jannik Sinner","1","13500","-1250.0","0.0","ITA","24"
"2026-06-08","207989","Carlos Alcaraz","2","9960","-2000.0","0.0","ESP","23"
"2026-06-08","100644","Alexander Zverev","3","7305","1600.0","0.0","GER","29"
"2026-06-08","","Felix Auger-Aliassime","4","4440","390.0","2.0","",""
"2026-06-08","210097","Ben Shelton","5","3920","-150.0","0.0","USA","23"
"2026-06-08","200282","Alex De Minaur","6","3905","50.0","1.0","AUS","27"
"2026-06-08","104925","Novak Djokovic","7","3760","-700.0","-3.0","SRB","39"
"2026-06-08","106421","Daniil Medvedev","8","3760","0.0","0.0","RUS","30"
"2026-06-08","126203","Taylor Fritz","9","3720","0.0","0.0","USA","28"
"2026-06-08","207925","Flavio Cobolli","10","3540","1200.0","4.0","ITA","24"
"2026-06-08","122330","Alexander Bublik","11","2930","-390.0","-1.0","KAZ","28"
"2026-06-08","208103","Jiri Lehecka","12","2575","-90.0","0.0","CZE","24"
"2026-06-08","126094","Andrey Rublev","13","2460","0.0","0.0","RUS","28"
"2026-06-08","134770","Casper Ruud","14","2425","150.0","2.0","NOR","27"
"2026-06-08","111575","Karen Khachanov","15","2320","0.0","0.0","RUS","30"
"2026-06-08","207518","Lorenzo Musetti","16","2315","-800.0","-5.0","ITA","24"
"2026-06-08","210084","Jakub Mensik","17","2300","750.0","10.0","CZE","20"
"2026-06-08","209260","Luciano Darderi","18","2300","40.0","-1.0","ITA","24"
"2026-06-08","210530","Learner Tien","19","2270","90.0","-1.0","USA","20"
"2026-06-08","200473","Valentin Vacherot","20","2145","42.0","-1.0","MON","27"
"2026-06-08","209950","Arthur Fils","21","1940","-100.0","-1.0","FRA","21"
"2026-06-08","200221","Alejandro Davidovich Fokina","22","1860","0.0","1.0","ESP","27"
"2026-06-08","212588","Rafael Jodar","23","1849","388.0","6.0","ESP","19"
"2026-06-08","126239","Arthur Rinderknech","24","1776","40.0","1.0","FRA","30"
"2026-06-08","211663","Joao Fonseca","25","1735","300.0","5.0","BRA","19"
"2026-06-08","126207","Frances Tiafoe","26","1705","-200.0","-4.0","USA","28"
"2026-06-08","202103","Francisco Cerundolo","27","1660","90.0","-1.0","ARG","27"
"2026-06-08","126205","Tommy Paul","28","1645","-300.0","-7.0","USA","29"
"2026-06-08","111815","Cameron Norrie","29","1595","-190.0","-5.0","GBR","30"
"2026-06-08","144869","Tomas Martin Etcheverry","30","1510","0.0","-2.0","ARG","26"
"2026-06-08","126214","Alejandro Tabilo","31","1428","150.0","5.0","CHI","29"
"2026-06-08","206909","Brandon Nakashima","32","1385","90.0","3.0","USA","24"
"2026-06-08","200005","Ugo Humbert","33","1370","0.0","-1.0","FRA","27"
"2026-06-08","208286","Matteo Arnaldi","34","1336","750.0","70.0","ITA","25"
"2026-06-08","209860","Ignacio Buse","35","1316","-96.0","-4.0","PER","22"
"2026-06-08","144895","Corentin Moutet","36","1283","-40.0","-2.0","FRA","27"
"2026-06-08","210696","Alexander Blockx","37","1280","42.0","0.0","BEL","21"
"2026-06-08","210506","Alex Michelsen","38","1205","90.0","4.0","USA","21"
"2026-06-08","208363","Mariano Navone","39","1165","-50.0","-1.0","ARG","25"
"2026-06-08","200267","Zizou Bergs","40","1150","0.0","0.0","BEL","27"
"2026-06-08","134868","Tallon Griekspoor","41","1150","-190.0","-8.0","NED","29"
"2026-06-08","133430","Denis Shapovalov","42","1130","-40.0","-3.0","CAN","27"
"2026-06-08","207830","Tomas Machac","43","1120","40.0","0.0","CZE","25"
"2026-06-08","144719","Jaume Munar","44","1105","-40.0","-3.0","ESP","29"
"2026-06-08","207678","Juan Manuel Cerundolo","45","1055","120.0","11.0","ARG","24"
"2026-06-08","105173","Adrian Mannarino","46","1031","-6.0","-1.0","FRA","37"
"2026-06-08","105227","Marin Cilic","47","994","-16.0","-1.0","CRO","37"
"2026-06-08","126610","Matteo Berrettini","48","985","400.0","57.0","ITA","30"
"2026-06-08","200175","Miomir Kecmanovic","49","980","0.0","-1.0","SRB","26"
"2026-06-08","132686","Nuno Borges","50","970","0.0","1.0","POR","29"
"2026-06-08","209920","Raphael Collignon","51","966","100.0","11.0","BEL","24"
"2026-06-08","202058","Thiago Agustin Tirante","52","961","74.0","8.0","ARG","25"
"2026-06-08","209279","Terence Atmane","53","948","10.0","-1.0","FRA","24"
"2026-06-08","209113","Gabriel Diallo","54","935","-40.0","-5.0","CAN","24"
"2026-06-08","122298","Botic Van De Zandschulp","55","935","0.0","0.0","NED","30"
"2026-06-08","202104","Sebastian Baez","56","935","75.0","8.0","ARG","25"
"2026-06-08","200116","Camilo Ugo Carabelli","57","930","40.0","2.0","ARG","26"
"2026-06-08","211776","Martin Landaluce","58","919","92.0","11.0","ESP","20"
"2026-06-08","105870","Yannick Hanfmann","59","906","-30.0","-6.0","GER","34"
"2026-06-08","200624","Sebastian Korda","60","900","-100.0","-13.0","USA","25"
"2026-06-08","206681","Fabian Marozsan","61","895","-40.0","-7.0","HUN","26"
"2026-06-08","208260","Zachary Svajda","62","875","179.0","23.0","USA","23"
"2026-06-08","208882","Roman Andres Burruchaga","63","875","42.0","5.0","ARG","24"
"2026-06-08","208029","Holger Rune","64","860","-200.0","-20.0","DEN","23"
"2026-06-08","200240","Vit Kopriva","65","856","0.0","1.0","CZE","28"
"2026-06-08","132283","Lorenzo Sonego","66","855","40.0","4.0","ITA","31"
"2026-06-08","210319","Ethan Quinn","67","854","-120.0","-17.0","USA","22"
"2026-06-08","209098","Hamad Medjedovic","68","844","-50.0","-10.0","SRB","22"
"2026-06-08","206499","Aleksandar Kovacevic","69","837","0.0","-2.0","USA","27"
"2026-06-08","209976","Dino Prizmic","70","835","50.0","2.0","CRO","20"
"2026-06-08","105807","Pablo Carreno Busta","71","835","150.0","18.0","ESP","34"
"2026-06-08","209226","Adolfo Daniel Vallejo","72","828","42.0","-1.0","PAR","22"
"2026-06-08","202385","Jenson Brooksby","73","825","-40.0","-10.0","USA","25"
"2026-06-08","208316","Valentin Royer","74","823","50.0","0.0","FRA","25"
"2026-06-08","105916","Marton Fucsovics","75","819","-40.0","-10.0","HUN","34"
"2026-06-08","111794","Kamil Majchrzak","76","782","35.0","2.0","POL","30"
"2026-06-08","","Jan-Lennard Struff","77","779","40.0","3.0","",""
"2026-06-08","208233","Mattia Bellucci","78","777","0.0","-5.0","ITA","25"
"2026-06-08","105902","James Duckworth","79","762","40.0","3.0","AUS","34"
"2026-06-08","105477","Marco Trungelliti","80","758","27.0","1.0","ARG","36"
"2026-06-08","209070","Arthur Cazaux","81","757","0.0","-4.0","FRA","23"
"2026-06-08","","Daniel Merida","82","756","60.0","4.0","",""
"2026-06-08","207411","Jesper De Jong","83","746","166.0","23.0","NED","26"
"2026-06-08","126774","Stefanos Tsitsipas","84","740","0.0","-5.0","GRE","27"
"2026-06-08","127157","Daniel Altmaier","85","740","-190.0","-28.0","GER","27"
"2026-06-08","124187","Reilly Opelka","86","718","-40.0","-10.0","USA","28"
"2026-06-08","207182","Emilio Nava","87","707","76.0","7.0","USA","24"
