"ranking_date","player_id","player_name","atp_rank","atp_points","atp_points_change","atp_rank_change","country","age"
"2026-05-25","206173","Jannik Sinner","1","14750","50.0","0.0","ITA","24"
"2026-05-25","207989","Carlos Alcaraz","2","11960","0.0","0.0","ESP","23"
"2026-05-25","100644","Alexander Zverev","3","5705","0.0","0.0","GER","29"
"2026-05-25","104925","Novak Djokovic","4","4460","-250.0","0.0","SRB","39"
"2026-05-25","210097","Ben Shelton","5","4070","40.0","1.0","USA","23"
"2026-05-25","","Felix Auger-Aliassime","6","4050","-10.0","-1.0","",""
"2026-05-25","200282","Alex De Minaur","7","3855","190.0","2.0","AUS","27"
"2026-05-25","106421","Daniil Medvedev","8","3760","0.0","-1.0","RUS","30"
"2026-05-25","126203","Taylor Fritz","9","3720","0.0","-1.0","USA","28"
"2026-05-25","122330","Alexander Bublik","10","3320","90.0","0.0","KAZ","28"
"2026-05-25","207518","Lorenzo Musetti","11","3115","0.0","0.0","ITA","24"
"2026-05-25","208103","Jiri Lehecka","12","2665","-50.0","2.0","CZE","24"
"2026-05-25","126094","Andrey Rublev","13","2460","-320.0","0.0","RUS","28"
"2026-05-25","207925","Flavio Cobolli","14","2340","-450.0","-2.0","ITA","24"
"2026-05-25","111575","Karen Khachanov","15","2320","0.0","0.0","RUS","30"
"2026-05-25","134770","Casper Ruud","16","2275","90.0","1.0","NOR","27"
"2026-05-25","209260","Luciano Darderi","17","2260","0.0","-1.0","ITA","24"
"2026-05-25","210530","Learner Tien","18","2180","240.0","2.0","USA","20"
"2026-05-25","200473","Valentin Vacherot","19","2103","0.0","-1.0","MON","27"
"2026-05-25","209950","Arthur Fils","20","2040","0.0","-1.0","FRA","21"
"2026-05-25","126205","Tommy Paul","21","1945","320.0","5.0","USA","29"
"2026-05-25","126207","Frances Tiafoe","22","1905","0.0","-1.0","USA","28"
"2026-05-25","200221","Alejandro Davidovich Fokina","23","1860","40.0","0.0","ESP","26"
"2026-05-25","111815","Cameron Norrie","24","1785","-103.0","-2.0","GBR","30"
"2026-05-25","126239","Arthur Rinderknech","25","1736","25.0","-1.0","FRA","30"
"2026-05-25","202103","Francisco Cerundolo","26","1570","0.0","1.0","ARG","27"
"2026-05-25","210084","Jakub Mensik","27","1550","40.0","1.0","CZE","20"
"2026-05-25","144869","Tomas Martin Etcheverry","28","1510","-120.0","-3.0","ARG","26"
"2026-05-25","212588","Rafael Jodar","29","1461","0.0","0.0","ESP","19"
"2026-05-25","211663","Joao Fonseca","30","1435","0.0","0.0","BRA","19"
"2026-05-25","209860","Ignacio Buse","31","1412","519.0","26.0","PER","22"
"2026-05-25","200005","Ugo Humbert","32","1370","90.0","2.0","FRA","27"
"2026-05-25","134868","Tallon Griekspoor","33","1340","0.0","-2.0","NED","29"
"2026-05-25","144895","Corentin Moutet","34","1323","0.0","-2.0","FRA","27"
"2026-05-25","206909","Brandon Nakashima","35","1295","0.0","-2.0","USA","24"
"2026-05-25","126214","Alejandro Tabilo","36","1278","0.0","-1.0","CHI","28"
"2026-05-25","210696","Alexander Blockx","37","1238","0.0","-1.0","BEL","21"
"2026-05-25","208363","Mariano Navone","38","1215","149.0","4.0","ARG","25"
"2026-05-25","133430","Denis Shapovalov","39","1170","0.0","-2.0","CAN","27"
"2026-05-25","200267","Zizou Bergs","40","1150","0.0","-2.0","BEL","26"
"2026-05-25","144719","Jaume Munar","41","1145","40.0","-2.0","ESP","29"
"2026-05-25","210506","Alex Michelsen","42","1115","40.0","-1.0","USA","21"
"2026-05-25","207830","Tomas Machac","43","1080","0.0","-3.0","CZE","25"
"2026-05-25","208029","Holger Rune","44","1060","0.0","-1.0","DEN","23"
"2026-05-25","105173","Adrian Mannarino","45","1037","0.0","-1.0","FRA","37"
"2026-05-25","105227","Marin Cilic","46","1010","0.0","-1.0","CRO","37"
"2026-05-25","200624","Sebastian Korda","47","1000","0.0","-1.0","USA","25"
"2026-05-25","200175","Miomir Kecmanovic","48","980","0.0","-1.0","SRB","26"
"2026-05-25","209113","Gabriel Diallo","49","975","0.0","-1.0","CAN","24"
"2026-05-25","210319","Ethan Quinn","50","974","0.0","-1.0","USA","22"
"2026-05-25","132686","Nuno Borges","51","970","0.0","-1.0","POR","29"
"2026-05-25","209279","Terence Atmane","52","938","0.0","-1.0","FRA","24"
"2026-05-25","105870","Yannick Hanfmann","53","936","37.0","2.0","GER","34"
"2026-05-25","206681","Fabian Marozsan","54","935","0.0","-2.0","HUN","26"
"2026-05-25","122298","Botic Van De Zandschulp","55","935","0.0","-2.0","NED","30"
"2026-05-25","207678","Juan Manuel Cerundolo","56","935","0.0","-2.0","ARG","24"
"2026-05-25","127157","Daniel Altmaier","57","930","87.0","8.0","GER","27"
"2026-05-25","209098","Hamad Medjedovic","58","894","0.0","-2.0","SRB","22"
"2026-05-25","200116","Camilo Ugo Carabelli","59","890","65.0","9.0","ARG","26"
"2026-05-25","202058","Thiago Agustin Tirante","60","887","0.0","-2.0","ARG","25"
"2026-05-25","200615","Alexei Popyrin","61","870","0.0","0.0","AUS","26"
