"ranking_date","player_id","player_name","atp_rank","atp_points","atp_points_change","atp_rank_change","country","age"
"2026-02-02","207989","Carlos Alcaraz","1","13650","1600.0","0.0","ESP","22"
"2026-02-02","206173","Jannik Sinner","2","10300","-1200.0","0.0","ITA","24"
"2026-02-02","104925","Novak Djokovic","3","5280","500.0","1.0","SRB","38"
"2026-02-02","100644","Alexander Zverev","4","4605","-500.0","-1.0","GER","28"
"2026-02-02","207518","Lorenzo Musetti","5","4405","300.0","0.0","ITA","23"
"2026-02-02","200282","Alex De Minaur","6","4080","0.0","0.0","AUS","26"
"2026-02-02","126203","Taylor Fritz","7","3940","100.0","2.0","USA","28"
"2026-02-02","","Felix Auger-Aliassime","8","3725","-265.0","0.0","",""
"2026-02-02","210097","Ben Shelton","9","3600","-400.0","-2.0","USA","23"
"2026-02-02","122330","Alexander Bublik","10","3235","170.0","0.0","KAZ","28"
"2026-02-02","106421","Daniil Medvedev","11","3060","150.0","1.0","RUS","29"
"2026-02-02","134770","Casper Ruud","12","2945","150.0","1.0","NOR","27"
"2026-02-02","207733","Jack Draper","13","2790","-200.0","-2.0","GBR","24"
"2026-02-02","126094","Andrey Rublev","14","2600","0.0","1.0","RUS","28"
"2026-02-02","200221","Alejandro Davidovich Fokina","15","2535","-100.0","-1.0","ESP","26"
"2026-02-02","210084","Jakub Mensik","16","2445","100.0","1.0","CZE","20"
"2026-02-02","208029","Holger Rune","17","2380","-200.0","-1.0","DEN","22"
"2026-02-02","111575","Karen Khachanov","18","2320","0.0","0.0","RUS","29"
"2026-02-02","202103","Francisco Cerundolo","19","2135","100.0","2.0","ARG","27"
"2026-02-02","207925","Flavio Cobolli","20","1955","0.0","2.0","ITA","23"
"2026-02-02","208103","Jiri Lehecka","21","1900","-190.0","-2.0","CZE","24"
"2026-02-02","126205","Tommy Paul","22","1850","-200.0","-2.0","USA","28"
"2026-02-02","209260","Luciano Darderi","23","1789","190.0","2.0","ITA","23"
"2026-02-02","210530","Learner Tien","24","1710","170.0","5.0","USA","20"
"2026-02-02","133430","Denis Shapovalov","25","1650","0.0","-2.0","CAN","26"
"2026-02-02","111815","Cameron Norrie","26","1643","90.0","1.0","GBR","30"
"2026-02-02","200473","Valentin Vacherot","27","1611","92.0","4.0","MON","27"
