"ranking_date","player_id","player_name","atp_rank","atp_points","atp_points_change","atp_rank_change","country","age"
"2026-08-03","206173","Jannik Sinner","1","13450","0.0","0.0","ITA","24"
"2026-08-03","207989","Carlos Alcaraz","2","8160","0.0","1.0","ESP","23"
"2026-08-03","100644","Alexander Zverev","3","8120","-360.0","-1.0","GER","29"
"2026-08-03","","Felix Auger-Aliassime","4","4740","0.0","0.0","",""
"2026-08-03","104925","Novak Djokovic","5","3760","0.0","0.0","SRB","39"
"2026-08-03","106421","Daniil Medvedev","6","3620","0.0","1.0","RUS","30"
"2026-08-03","200282","Alex De Minaur","7","3560","-100.0","-1.0","AUS","27"
"2026-08-03","126203","Taylor Fritz","8","3400","100.0","2.0","USA","28"
"2026-08-03","207925","Flavio Cobolli","9","3330","-90.0","0.0","ITA","24"
"2026-08-03","210097","Ben Shelton","10","2680","-900.0","-2.0","USA","23"
"2026-08-03","122330","Alexander Bublik","11","2535","10.0","0.0","KAZ","29"
"2026-08-03","208103","Jiri Lehecka","12","2380","-90.0","0.0","CZE","24"
"2026-08-03","207518","Lorenzo Musetti","13","2375","60.0","2.0","ITA","24"
"2026-08-03","134770","Casper Ruud","14","2345","-90.0","-1.0","NOR","27"
"2026-08-03","212588","Rafael Jodar","15","2243","316.0","9.0","ESP","19"
"2026-08-03","126094","Andrey Rublev","16","2230","-190.0","-2.0","RUS","28"
"2026-08-03","210084","Jakub Mensik","17","2205","0.0","0.0","CZE","20"
"2026-08-03","200473","Valentin Vacherot","18","2176","-12.0","0.0","MON","27"
"2026-08-03","210530","Learner Tien","19","2155","-90.0","-3.0","USA","20"
"2026-08-03","126207","Frances Tiafoe","20","2105","-75.0","-1.0","USA","28"
"2026-08-03","126205","Tommy Paul","21","2075","50.0","0.0","USA","29"
"2026-08-03","209260","Luciano Darderi","22","2025","50.0","1.0","ITA","24"
"2026-08-03","202103","Francisco Cerundolo","23","2010","-50.0","-3.0","ARG","27"
"2026-08-03","209950","Arthur Fils","24","1940","-50.0","-2.0","FRA","22"
"2026-08-03","200221","Alejandro Davidovich Fokina","25","1830","-50.0","0.0","ESP","27"
"2026-08-03","126214","Alejandro Tabilo","26","1728","170.0","4.0","CHI","29"
"2026-08-03","211663","Joao Fonseca","27","1700","-10.0","0.0","BRA","19"
"2026-08-03","200005","Ugo Humbert","28","1625","50.0","1.0","FRA","28"
"2026-08-03","126239","Arthur Rinderknech","29","1623","-10.0","-1.0","FRA","31"
"2026-08-03","144869","Tomas Martin Etcheverry","30","1510","0.0","1.0","ARG","27"
"2026-08-03","206909","Brandon Nakashima","31","1510","150.0","2.0","USA","25"
"2026-08-03","210696","Alexander Blockx","32","1353","-23.0","0.0","BEL","21"
