"ranking_date","player_id","player_name","atp_rank","atp_points","atp_points_change","atp_rank_change","country","age"
"2026-04-20","206173","Jannik Sinner","1","13350","0.0","0.0","ITA","24"
"2026-04-20","207989","Carlos Alcaraz","2","12960","-280.0","0.0","ESP","22"
"2026-04-20","100644","Alexander Zverev","3","5255","-300.0","0.0","GER","29"
"2026-04-20","104925","Novak Djokovic","4","4710","0.0","0.0","SRB","38"
"2026-04-20","","Felix Auger-Aliassime","5","4100","0.0","0.0","",""
"2026-04-20","210097","Ben Shelton","6","4070","170.0","0.0","USA","23"
"2026-04-20","126203","Taylor Fritz","7","3870","0.0","1.0","USA","28"
"2026-04-20","200282","Alex De Minaur","8","3845","-50.0","-1.0","AUS","27"
"2026-04-20","207518","Lorenzo Musetti","9","3715","90.0","0.0","ITA","24"
"2026-04-20","106421","Daniil Medvedev","10","3560","0.0","0.0","RUS","30"
"2026-04-20","122330","Alexander Bublik","11","3445","0.0","0.0","KAZ","28"
"2026-04-20","126094","Andrey Rublev","12","2630","280.0","3.0","RUS","28"
"2026-04-20","207925","Flavio Cobolli","13","2600","280.0","3.0","ITA","23"
"2026-04-20","208103","Jiri Lehecka","14","2540","0.0","-1.0","CZE","24"
"2026-04-20","134770","Casper Ruud","15","2535","-90.0","-3.0","NOR","27"
"2026-04-20","111575","Karen Khachanov","16","2220","-190.0","-2.0","RUS","29"
"2026-04-20","200473","Valentin Vacherot","17","2168","0.0","0.0","MON","27"
"2026-04-20","126205","Tommy Paul","18","2065","0.0","0.0","USA","28"
"2026-04-20","126207","Frances Tiafoe","19","1965","0.0","1.0","USA","28"
"2026-04-20","202103","Francisco Cerundolo","20","1920","-100.0","-1.0","ARG","27"
"2026-04-20","210530","Learner Tien","21","1885","0.0","1.0","USA","20"
"2026-04-20","209260","Luciano Darderi","22","1870","-50.0","-1.0","ITA","24"
"2026-04-20","111815","Cameron Norrie","23","1868","90.0","1.0","GBR","30"
"2026-04-20","200221","Alejandro Davidovich Fokina","24","1820","-50.0","-1.0","ESP","26"
"2026-04-20","209950","Arthur Fils","25","1740","300.0","5.0","FRA","21"
"2026-04-20","126239","Arthur Rinderknech","26","1716","40.0","0.0","FRA","30"
"2026-04-20","210084","Jakub Mensik","27","1700","0.0","-2.0","CZE","20"
"2026-04-20","207733","Jack Draper","28","1610","0.0","0.0","GBR","24"
"2026-04-20","144869","Tomas Martin Etcheverry","29","1590","0.0","0.0","ARG","26"
"2026-04-20","144895","Corentin Moutet","30","1433","0.0","1.0","FRA","27"
"2026-04-20","211663","Joao Fonseca","31","1415","100.0","4.0","BRA","19"
"2026-04-20","206909","Brandon Nakashima","32","1385","0.0","1.0","USA","24"
"2026-04-20","134868","Tallon Griekspoor","33","1340","-90.0","-1.0","NED","29"
"2026-04-20","200005","Ugo Humbert","34","1320","0.0","0.0","FRA","27"
"2026-04-20","133430","Denis Shapovalov","35","1210","90.0","4.0","CAN","27"
"2026-04-20","209113","Gabriel Diallo","36","1200","25.0","1.0","CAN","24"
"2026-04-20","210506","Alex Michelsen","37","1200","0.0","-1.0","USA","21"
"2026-04-20","144719","Jaume Munar","38","1135","-40.0","0.0","ESP","28"
"2026-04-20","208029","Holger Rune","39","1120","-500.0","-12.0","DEN","22"
"2026-04-20","200624","Sebastian Korda","40","1100","0.0","3.0","USA","25"
"2026-04-20","207830","Tomas Machac","41","1080","100.0","6.0","CZE","25"
"2026-04-20","212588","Rafael Jodar","42","1080","194.0","13.0","ESP","19"
"2026-04-20","126214","Alejandro Tabilo","43","1068","0.0","2.0","CHI","28"
"2026-04-20","200267","Zizou Bergs","44","1060","-50.0","-4.0","BEL","26"
"2026-04-20","208363","Mariano Navone","45","1055","-30.0","-1.0","ARG","25"
"2026-04-20","105173","Adrian Mannarino","46","1025","0.0","0.0","FRA","37"
"2026-04-20","209279","Terence Atmane","47","983","-125.0","-6.0","FRA","24"
"2026-04-20","210319","Ethan Quinn","48","977","50.0","2.0","USA","22"
"2026-04-20","132686","Nuno Borges","49","970","75.0","3.0","POR","29"
"2026-04-20","206681","Fabian Marozsan","50","955","-150.0","-8.0","HUN","26"
"2026-04-20","105227","Marin Cilic","51","950","0.0","-3.0","CRO","37"
"2026-04-20","122298","Botic Van De Zandschulp","52","918","-13.0","-3.0","NED","30"
"2026-04-20","208659","Giovanni Mpetshi Perricard","53","890","0.0","0.0","FRA","22"
"2026-04-20","105916","Marton Fucsovics","54","887","0.0","0.0","HUN","34"
"2026-04-20","127157","Daniel Altmaier","55","880","0.0","1.0","GER","27"
"2026-04-20","200615","Alexei Popyrin","56","870","0.0","3.0","AUS","26"
"2026-04-20","200116","Camilo Ugo Carabelli","57","865","40.0","7.0","ARG","26"
"2026-04-20","209860","Ignacio Buse","58","864","0.0","2.0","PER","22"
"2026-04-20","208882","Roman Andres Burruchaga","59","860","0.0","2.0","ARG","24"
"2026-04-20","105870","Yannick Hanfmann","60","857","-42.0","-9.0","GER","34"
"2026-04-20","202385","Jenson Brooksby","61","852","0.0","1.0","USA","25"
"2026-04-20","132283","Lorenzo Sonego","62","850","40.0","4.0","ITA","30"
"2026-04-20","128034","Hubert Hurkacz","63","845","0.0","0.0","POL","29"
"2026-04-20","202104","Sebastian Baez","64","840","-40.0","-7.0","ARG","25"
"2026-04-20","200175","Miomir Kecmanovic","65","835","-40.0","-7.0","SRB","26"
"2026-04-20","200240","Vit Kopriva","66","826","88.0","12.0","CZE","28"
"2026-04-20","207678","Juan Manuel Cerundolo","67","816","13.0","2.0","ARG","24"
"2026-04-20","209098","Hamad Medjedovic","68","814","150.0","20.0","SRB","22"
"2026-04-20","210696","Alexander Blockx","69","814","42.0","3.0","BEL","21"
"2026-04-20","124187","Reilly Opelka","70","803","0.0","-2.0","USA","28"
"2026-04-20","209920","Raphael Collignon","71","802","-16.0","-6.0","BEL","24"
"2026-04-20","208316","Valentin Royer","72","794","52.0","5.0","FRA","24"
"2026-04-20","209070","Arthur Cazaux","73","777","0.0","-2.0","FRA","23"
"2026-04-20","111794","Kamil Majchrzak","74","767","0.0","-1.0","POL","30"
"2026-04-20","202058","Thiago Agustin Tirante","75","765","0.0","-1.0","ARG","25"
"2026-04-20","106218","Marcos Giron","76","750","0.0","0.0","USA","32"
"2026-04-20","105477","Marco Trungelliti","77","737","5.0","3.0","ARG","36"
"2026-04-20","208233","Mattia Bellucci","78","734","0.0","1.0","ITA","24"
"2026-04-20","105902","James Duckworth","79","722","-62.0","-9.0","AUS","34"
"2026-04-20","126774","Stefanos Tsitsipas","80","715","-90.0","-13.0","GRE","27"
"2026-04-20","","Jan-Lennard Struff","81","709","0.0","0.0","",""
"2026-04-20","","Aleksandr Shevchenko","82","704","-47.0","-7.0","",""
"2026-04-20","124116","Sebastian Ofner","83","698","25.0","3.0","AUT","29"
"2026-04-20","106000","Damir Dzumhur","84","694","0.0","-2.0","BIH","33"
"2026-04-20","106426","Cristian Garin","85","679","0.0","-2.0","CHI","29"
"2026-04-20","208118","Eliot Spizzirri","86","674","0.0","-1.0","USA","24"
"2026-04-20","209976","Dino Prizmic","87","670","0.0","0.0","CRO","20"
"2026-04-20","208260","Zachary Svajda","88","666","-8.0","-4.0","USA","23"
"2026-04-20","126846","Aleksandar Vukic","89","663","0.0","0.0","AUS","30"
"2026-04-20","200516","Patrick Kypson","90","653","13.0","6.0","USA","26"
"2026-04-20","111460","Quentin Halys","91","650","0.0","-1.0","FRA","29"
"2026-04-20","126610","Matteo Berrettini","92","650","0.0","-1.0","ITA","30"
"2026-04-20","105138","Roberto Bautista Agut","93","649","0.0","0.0","ESP","38"
"2026-04-20","105807","Pablo Carreno Busta","94","646","0.0","0.0","ESP","34"
"2026-04-20","124186","Alexandre Muller","95","641","0.0","0.0","FRA","29"
"2026-04-20","209226","Adolfo Daniel Vallejo","96","640","0.0","1.0","PAR","21"
"2026-04-20","206499","Aleksandar Kovacevic","97","636","0.0","2.0","USA","27"
"2026-04-20","209414","Luca Van Assche","98","636","1.0","2.0","FRA","21"
"2026-04-20","211776","Martin Landaluce","99","634","0.0","2.0","ESP","20"
"2026-04-20","200059","Yibing Wu","100","634","0.0","2.0","CHN","26"
"2026-04-20","208014","Rinky Hijikata","101","632","0.0","2.0","AUS","25"
"2026-04-20","","Daniel Merida","102","632","7.0","2.0","",""
"2026-04-20","208286","Matteo Arnaldi","103","621","0.0","2.0","ITA","25"
"2026-04-20","126127","Benjamin Bonzi","104","616","0.0","2.0","FRA","29"
"2026-04-20","207681","Francisco Comesana","105","610","-39.0","-13.0","ARG","25"
"2026-04-20","104527","Stan Wawrinka","106","608","0.0","1.0","SUI","41"
"2026-04-20","144684","Alex Molcan","107","601","225.0","59.0","SVK","28"
"2026-04-20","200647","Sho Shimabukuro","108","596","8.0","2.0","JPN","28"
