"ranking_date","player_id","player_name","atp_rank","atp_points","atp_points_change","atp_rank_change","country","age"
"2026-06-22","206173","Jannik Sinner","1","13450","-50.0","0.0","ITA","24"
"2026-06-22","207989","Carlos Alcaraz","2","9460","-500.0","0.0","ESP","23"
"2026-06-22","100644","Alexander Zverev","3","7190","0.0","0.0","GER","29"
"2026-06-22","","Felix Auger-Aliassime","4","4440","50.0","0.0","",""
"2026-06-22","210097","Ben Shelton","5","4160","90.0","0.0","USA","23"
"2026-06-22","200282","Alex De Minaur","6","4110","50.0","0.0","AUS","27"
"2026-06-22","126203","Taylor Fritz","7","3915","280.0","2.0","USA","28"
"2026-06-22","104925","Novak Djokovic","8","3760","0.0","0.0","SRB","39"
"2026-06-22","106421","Daniil Medvedev","9","3580","-230.0","-2.0","RUS","30"
"2026-06-22","207925","Flavio Cobolli","10","3460","-80.0","0.0","ITA","24"
"2026-06-22","122330","Alexander Bublik","11","2620","-400.0","0.0","KAZ","29"
"2026-06-22","134770","Casper Ruud","12","2425","0.0","2.0","NOR","27"
"2026-06-22","126094","Andrey Rublev","13","2420","-40.0","0.0","RUS","28"
"2026-06-22","208103","Jiri Lehecka","14","2360","-280.0","-2.0","CZE","24"
"2026-06-22","207518","Lorenzo Musetti","15","2325","10.0","0.0","ITA","24"
"2026-06-22","209260","Luciano Darderi","16","2300","0.0","1.0","ITA","24"
"2026-06-22","210084","Jakub Mensik","17","2295","-5.0","-1.0","CZE","20"
"2026-06-22","210530","Learner Tien","18","2290","20.0","1.0","USA","20"
"2026-06-22","126207","Frances Tiafoe","19","2180","450.0","7.0","USA","28"
"2026-06-22","200473","Valentin Vacherot","20","2138","0.0","0.0","MON","27"
"2026-06-22","202103","Francisco Cerundolo","21","2110","450.0","6.0","ARG","27"
"2026-06-22","111575","Karen Khachanov","22","2080","-200.0","-4.0","RUS","30"
"2026-06-22","209950","Arthur Fils","23","1940","0.0","-2.0","FRA","22"
"2026-06-22","126205","Tommy Paul","24","1925","280.0","4.0","USA","29"
"2026-06-22","200221","Alejandro Davidovich Fokina","25","1910","50.0","-3.0","ESP","27"
"2026-06-22","212588","Rafael Jodar","26","1849","0.0","-3.0","ESP","19"
"2026-06-22","211663","Joao Fonseca","27","1735","0.0","-2.0","BRA","19"
"2026-06-22","126239","Arthur Rinderknech","28","1688","-88.0","-4.0","FRA","30"
"2026-06-22","111815","Cameron Norrie","29","1595","0.0","0.0","GBR","30"
"2026-06-22","200005","Ugo Humbert","30","1510","150.0","3.0","FRA","27"
"2026-06-22","206909","Brandon Nakashima","31","1485","100.0","1.0","USA","24"
"2026-06-22","144869","Tomas Martin Etcheverry","32","1460","-50.0","-2.0","ARG","26"
"2026-06-22","126214","Alejandro Tabilo","33","1428","0.0","-2.0","CHI","29"
