"ranking_date","player_id","player_name","atp_rank","atp_points","atp_points_change","atp_rank_change","country","age"
"2026-03-30","207989","Carlos Alcaraz","1","13590","40.0","0.0","ESP","22"
"2026-03-30","206173","Jannik Sinner","2","12400","1000.0","0.0","ITA","24"
"2026-03-30","100644","Alexander Zverev","3","5205","300.0","1.0","GER","28"
"2026-03-30","104925","Novak Djokovic","4","4720","-650.0","-1.0","SRB","38"
"2026-03-30","207518","Lorenzo Musetti","5","4265","-100.0","0.0","ITA","24"
"2026-03-30","200282","Alex De Minaur","6","4095","-90.0","0.0","AUS","27"
"2026-03-30","","Felix Auger-Aliassime","7","4000","0.0","1.0","",""
"2026-03-30","126203","Taylor Fritz","8","3870","-300.0","-1.0","USA","28"
"2026-03-30","210097","Ben Shelton","9","3860","0.0","0.0","USA","23"
"2026-03-30","106421","Daniil Medvedev","10","3610","0.0","0.0","RUS","30"
"2026-03-30","122330","Alexander Bublik","11","3345","-40.0","0.0","KAZ","28"
"2026-03-30","134770","Casper Ruud","12","2625","-90.0","0.0","NOR","27"
"2026-03-30","207925","Flavio Cobolli","13","2520","0.0","1.0","ITA","23"
"2026-03-30","208103","Jiri Lehecka","14","2490","640.0","8.0","CZE","24"
"2026-03-30","111575","Karen Khachanov","15","2410","0.0","0.0","RUS","29"
"2026-03-30","126094","Andrey Rublev","16","2400","0.0","0.0","RUS","28"
"2026-03-30","200221","Alejandro Davidovich Fokina","17","2220","-40.0","0.0","ESP","26"
"2026-03-30","126207","Frances Tiafoe","18","2070","150.0","2.0","USA","28"
"2026-03-30","209260","Luciano Darderi","19","2050","-34.0","-1.0","ITA","24"
"2026-03-30","202103","Francisco Cerundolo","20","2020","0.0","-1.0","ARG","27"
"2026-03-30","126205","Tommy Paul","21","1915","150.0","2.0","USA","28"
"2026-03-30","210530","Learner Tien","22","1845","-15.0","-1.0","USA","20"
"2026-03-30","200473","Valentin Vacherot","23","1831","90.0","2.0","MON","27"
"2026-03-30","111815","Cameron Norrie","24","1753","0.0","0.0","GBR","30"
"2026-03-30","207733","Jack Draper","25","1710","0.0","1.0","GBR","24"
"2026-03-30","210084","Jakub Mensik","26","1700","-950.0","-13.0","CZE","20"
"2026-03-30","126239","Arthur Rinderknech","27","1651","-6.0","0.0","FRA","30"
"2026-03-30","209950","Arthur Fils","28","1640","200.0","3.0","FRA","21"
"2026-03-30","208029","Holger Rune","29","1630","-10.0","-1.0","DEN","22"
"2026-03-30","134868","Tallon Griekspoor","30","1585","0.0","-1.0","NED","29"
"2026-03-30","144869","Tomas Martin Etcheverry","31","1500","70.0","1.0","ARG","26"
"2026-03-30","144895","Corentin Moutet","32","1403","20.0","1.0","FRA","26"
"2026-03-30","206909","Brandon Nakashima","33","1395","-90.0","-3.0","USA","24"
"2026-03-30","200005","Ugo Humbert","34","1320","75.0","0.0","FRA","27"
"2026-03-30","210506","Alex Michelsen","35","1225","90.0","5.0","USA","21"
"2026-03-30","209113","Gabriel Diallo","36","1175","-10.0","1.0","CAN","24"
"2026-03-30","144719","Jaume Munar","37","1175","-50.0","-2.0","ESP","28"
"2026-03-30","133430","Denis Shapovalov","38","1120","-40.0","0.0","CAN","26"
"2026-03-30","126214","Alejandro Tabilo","39","1118","0.0","2.0","CHI","28"
"2026-03-30","211663","Joao Fonseca","40","1115","-20.0","-1.0","BRA","19"
"2026-03-30","202385","Jenson Brooksby","41","1115","0.0","1.0","USA","25"
"2026-03-30","200624","Sebastian Korda","42","1100","-100.0","-6.0","USA","25"
"2026-03-30","105173","Adrian Mannarino","43","1082","22.0","0.0","FRA","37"
"2026-03-30","209279","Terence Atmane","44","1058","90.0","9.0","FRA","24"
"2026-03-30","200615","Alexei Popyrin","45","1010","0.0","2.0","AUS","26"
"2026-03-30","200267","Zizou Bergs","46","1010","-20.0","-1.0","BEL","26"
"2026-03-30","206681","Fabian Marozsan","47","1005","-15.0","-1.0","HUN","26"
"2026-03-30","132686","Nuno Borges","48","995","0.0","2.0","POR","29"
"2026-03-30","126774","Stefanos Tsitsipas","49","995","0.0","2.0","GRE","27"
"2026-03-30","202104","Sebastian Baez","50","980","0.0","2.0","ARG","25"
"2026-03-30","105916","Marton Fucsovics","51","977","18.0","3.0","HUN","34"
"2026-03-30","127157","Daniel Altmaier","52","960","54.0","3.0","GER","27"
"2026-03-30","111794","Kamil Majchrzak","53","955","50.0","4.0","POL","30"
"2026-03-30","105227","Marin Cilic","54","950","-50.0","-5.0","CRO","37"
"2026-03-30","207830","Tomas Machac","55","930","-70.0","-7.0","CZE","25"
"2026-03-30","210319","Ethan Quinn","56","926","20.0","0.0","USA","22"
"2026-03-30","208659","Giovanni Mpetshi Perricard","57","890","0.0","2.0","FRA","22"
"2026-03-30","200175","Miomir Kecmanovic","58","875","-20.0","0.0","SRB","26"
"2026-03-30","209860","Ignacio Buse","59","864","28.0","4.0","PER","22"
"2026-03-30","208363","Mariano Navone","60","860","5.0","1.0","ARG","25"
"2026-03-30","105870","Yannick Hanfmann","61","857","22.0","3.0","GER","34"
"2026-03-30","122298","Botic Van De Zandschulp","62","841","18.0","3.0","NED","30"
"2026-03-30","132283","Lorenzo Sonego","63","810","-30.0","-1.0","ITA","30"
"2026-03-30","124187","Reilly Opelka","64","803","0.0","3.0","USA","28"
"2026-03-30","209920","Raphael Collignon","65","802","34.0","7.0","BEL","24"
"2026-03-30","106218","Marcos Giron","66","790","0.0","4.0","USA","32"
"2026-03-30","200116","Camilo Ugo Carabelli","67","780","-30.0","-1.0","ARG","26"
"2026-03-30","209070","Arthur Cazaux","68","777","23.0","5.0","FRA","23"
"2026-03-30","207678","Juan Manuel Cerundolo","69","776","-10.0","2.0","ARG","24"
"2026-03-30","200240","Vit Kopriva","70","763","-113.0","-10.0","CZE","28"
"2026-03-30","208316","Valentin Royer","71","761","-34.0","-2.0","FRA","24"
"2026-03-30","128034","Hubert Hurkacz","72","745","10.0","3.0","POL","29"
"2026-03-30","208233","Mattia Bellucci","73","740","20.0","4.0","ITA","24"
"2026-03-30","106000","Damir Dzumhur","74","731","8.0","2.0","BIH","33"
"2026-03-30","","Jan-Lennard Struff","75","719","0.0","3.0","",""
"2026-03-30","","Aleksandr Shevchenko","76","716","37.0","8.0","",""
"2026-03-30","208882","Roman Andres Burruchaga","77","703","84.0","25.0","ARG","24"
"2026-03-30","124116","Sebastian Ofner","78","694","23.0","8.0","AUT","29"
"2026-03-30","208118","Eliot Spizzirri","79","688","-30.0","0.0","USA","24"
"2026-03-30","105138","Roberto Bautista Agut","80","685","17.0","9.0","ESP","37"
"2026-03-30","209098","Hamad Medjedovic","81","680","115.0","34.0","SRB","22"
"2026-03-30","208260","Zachary Svajda","82","674","30.0","14.0","USA","23"
"2026-03-30","202058","Thiago Agustin Tirante","83","673","-18.0","-2.0","ARG","24"
"2026-03-30","126846","Aleksandar Vukic","84","663","7.0","9.0","AUS","29"
"2026-03-30","206499","Aleksandar Kovacevic","85","661","0.0","7.0","USA","27"
"2026-03-30","209209","Filip Misolic","86","660","-11.0","1.0","AUT","24"
"2026-03-30","207681","Francisco Comesana","87","659","-20.0","-5.0","ARG","25"
"2026-03-30","105807","Pablo Carreno Busta","88","659","98.0","29.0","ESP","34"
"2026-03-30","212588","Rafael Jodar","89","652","64.0","20.0","ESP","19"
"2026-03-30","111460","Quentin Halys","90","650","70.0","21.0","FRA","29"
"2026-03-30","126610","Matteo Berrettini","91","650","-150.0","-23.0","ITA","29"
"2026-03-30","210696","Alexander Blockx","92","649","-20.0","-4.0","BEL","20"
"2026-03-30","105777","Grigor Dimitrov","93","645","-390.0","-49.0","BUL","34"
"2026-03-30","124186","Alexandre Muller","94","645","-20.0","-4.0","FRA","29"
"2026-03-30","105902","James Duckworth","95","640","-54.0","-15.0","AUS","34"
"2026-03-30","200516","Patrick Kypson","96","640","0.0","1.0","USA","26"
"2026-03-30","207985","Jacob Fearnley","97","639","-40.0","-14.0","GBR","24"
"2026-03-30","104527","Stan Wawrinka","98","633","-16.0","-4.0","SUI","41"
"2026-03-30","207411","Jesper De Jong","99","625","-40.0","-8.0","NED","25"
"2026-03-30","106426","Cristian Garin","100","624","-22.0","-5.0","CHI","29"
"2026-03-30","209226","Adolfo Daniel Vallejo","101","621","-16.0","-2.0","PAR","21"
"2026-03-30","208014","Rinky Hijikata","102","619","-18.0","-4.0","AUS","25"
"2026-03-30","126127","Benjamin Bonzi","103","616","0.0","0.0","FRA","29"
"2026-03-30","207182","Emilio Nava","104","615","-126.0","-30.0","USA","24"
"2026-03-30","200443","Adam Walton","105","614","-60.0","-20.0","AUS","26"
"2026-03-30","211776","Martin Landaluce","106","607","213.0","45.0","ESP","20"
"2026-03-30","208286","Matteo Arnaldi","107","605","-20.0","-6.0","ITA","25"
"2026-03-30","209147","Vilius Gaubas","108","603","0.0","-3.0","LTU","21"
"2026-03-30","209414","Luca Van Assche","109","601","4.0","-3.0","FRA","21"
"2026-03-30","207494","Dalibor Svrcina","110","591","-35.0","-10.0","CZE","23"
"2026-03-30","200647","Sho Shimabukuro","111","588","4.0","-1.0","JPN","28"
"2026-03-30","209976","Dino Prizmic","112","585","-6.0","-4.0","CRO","20"
"2026-03-30","124079","Pedro Martinez","113","580","4.0","0.0","ESP","28"
"2026-03-30","208353","Francesco Maestrelli","114","577","0.0","-2.0","ITA","23"
"2026-03-30","144642","Tomas Barrios Vera","115","571","20.0","4.0","CHI","28"
"2026-03-30","200384","Hugo Gaston","116","564","-30.0","-9.0","FRA","25"
