"ranking_date","player_id","player_name","atp_rank","atp_points","atp_points_change","atp_rank_change","country","age"
"2026-06-29","206173","Jannik Sinner","1","13450","0.0","0.0","ITA","24"
"2026-06-29","207989","Carlos Alcaraz","2","9460","0.0","0.0","ESP","23"
"2026-06-29","100644","Alexander Zverev","3","7190","0.0","0.0","GER","29"
"2026-06-29","","Felix Auger-Aliassime","4","4390","-50.0","0.0","",""
"2026-06-29","210097","Ben Shelton","5","4160","0.0","0.0","USA","23"
"2026-06-29","200282","Alex De Minaur","6","4110","0.0","0.0","AUS","27"
"2026-06-29","126203","Taylor Fritz","7","3765","-150.0","0.0","USA","28"
"2026-06-29","104925","Novak Djokovic","8","3760","0.0","0.0","SRB","39"
"2026-06-29","106421","Daniil Medvedev","9","3580","0.0","0.0","RUS","30"
"2026-06-29","207925","Flavio Cobolli","10","3460","0.0","0.0","ITA","24"
"2026-06-29","122330","Alexander Bublik","11","2620","0.0","0.0","KAZ","29"
"2026-06-29","134770","Casper Ruud","12","2425","0.0","0.0","NOR","27"
"2026-06-29","126094","Andrey Rublev","13","2420","0.0","0.0","RUS","28"
"2026-06-29","208103","Jiri Lehecka","14","2360","0.0","0.0","CZE","24"
"2026-06-29","207518","Lorenzo Musetti","15","2325","0.0","0.0","ITA","24"
"2026-06-29","209260","Luciano Darderi","16","2300","0.0","0.0","ITA","24"
"2026-06-29","210530","Learner Tien","17","2270","-20.0","1.0","USA","20"
"2026-06-29","210084","Jakub Mensik","18","2255","-40.0","-1.0","CZE","20"
"2026-06-29","126207","Frances Tiafoe","19","2180","0.0","0.0","USA","28"
"2026-06-29","200473","Valentin Vacherot","20","2138","0.0","0.0","MON","27"
"2026-06-29","202103","Francisco Cerundolo","21","2110","0.0","0.0","ARG","27"
"2026-06-29","111575","Karen Khachanov","22","2080","0.0","0.0","RUS","30"
"2026-06-29","200221","Alejandro Davidovich Fokina","23","2060","150.0","2.0","ESP","27"
"2026-06-29","209950","Arthur Fils","24","1940","0.0","-1.0","FRA","22"
"2026-06-29","126205","Tommy Paul","25","1925","0.0","-1.0","USA","29"
"2026-06-29","212588","Rafael Jodar","26","1839","-10.0","0.0","ESP","19"
