"ranking_date","player_id","player_name","atp_rank","atp_points","atp_points_change","atp_rank_change","country","age"
"2026-02-23","207989","Carlos Alcaraz","1","13550","400.0","0.0","ESP","22"
"2026-02-23","206173","Jannik Sinner","2","10400","100.0","0.0","ITA","24"
"2026-02-23","104925","Novak Djokovic","3","5280","0.0","0.0","SRB","38"
"2026-02-23","100644","Alexander Zverev","4","4555","-50.0","0.0","GER","28"
"2026-02-23","207518","Lorenzo Musetti","5","4405","0.0","0.0","ITA","23"
"2026-02-23","200282","Alex De Minaur","6","4235","-15.0","0.0","AUS","27"
"2026-02-23","126203","Taylor Fritz","7","4220","0.0","1.0","USA","28"
"2026-02-23","","Felix Auger-Aliassime","8","4080","-150.0","-1.0","",""
"2026-02-23","210097","Ben Shelton","9","4050","0.0","0.0","USA","23"
"2026-02-23","122330","Alexander Bublik","10","3405","0.0","0.0","KAZ","28"
"2026-02-23","106421","Daniil Medvedev","11","2960","-50.0","0.0","RUS","30"
"2026-02-23","134770","Casper Ruud","12","2665","40.0","1.0","NOR","27"
"2026-02-23","210084","Jakub Mensik","13","2595","170.0","3.0","CZE","20"
"2026-02-23","200221","Alejandro Davidovich Fokina","14","2470","0.0","1.0","ESP","26"
"2026-02-23","207733","Jack Draper","15","2460","-330.0","-3.0","GBR","24"
"2026-02-23","111575","Karen Khachanov","16","2450","90.0","1.0","RUS","29"
"2026-02-23","208029","Holger Rune","17","2340","0.0","1.0","DEN","22"
"2026-02-23","126094","Andrey Rublev","18","2210","-300.0","-4.0","RUS","28"
"2026-02-23","202103","Francisco Cerundolo","19","2170","-50.0","0.0","ARG","27"
"2026-02-23","207925","Flavio Cobolli","20","2030","75.0","0.0","ITA","23"
"2026-02-23","209260","Luciano Darderi","21","1904","0.0","0.0","ITA","24"
"2026-02-23","126205","Tommy Paul","22","1815","115.0","2.0","USA","28"
"2026-02-23","210530","Learner Tien","23","1785","75.0","0.0","USA","20"
"2026-02-23","208103","Jiri Lehecka","24","1760","-100.0","-2.0","CZE","24"
"2026-02-23","134868","Tallon Griekspoor","25","1655","0.0","0.0","NED","29"
"2026-02-23","111815","Cameron Norrie","26","1603","0.0","1.0","GBR","30"
"2026-02-23","200473","Valentin Vacherot","27","1591","-14.0","-1.0","MON","27"
"2026-02-23","126207","Frances Tiafoe","28","1590","40.0","0.0","USA","28"
"2026-02-23","206909","Brandon Nakashima","29","1535","0.0","0.0","USA","24"
"2026-02-23","126774","Stefanos Tsitsipas","30","1535","50.0","3.0","GRE","27"
"2026-02-23","126239","Arthur Rinderknech","31","1530","0.0","-1.0","FRA","30"
"2026-02-23","207830","Tomas Machac","32","1510","0.0","-1.0","CZE","25"
"2026-02-23","144869","Tomas Martin Etcheverry","33","1470","450.0","18.0","ARG","26"
"2026-02-23","209950","Arthur Fils","34","1440","330.0","6.0","FRA","21"
"2026-02-23","144895","Corentin Moutet","35","1383","0.0","-1.0","FRA","26"
"2026-02-23","133430","Denis Shapovalov","36","1350","0.0","-1.0","CAN","26"
"2026-02-23","200005","Ugo Humbert","37","1285","0.0","-1.0","FRA","27"
"2026-02-23","211663","Joao Fonseca","38","1240","50.0","0.0","BRA","19"
"2026-02-23","144719","Jaume Munar","39","1235","-40.0","-2.0","ESP","28"
"2026-02-23","200624","Sebastian Korda","40","1220","200.0","10.0","USA","25"
"2026-02-23","209113","Gabriel Diallo","41","1175","0.0","-2.0","CAN","24"
"2026-02-23","126214","Alejandro Tabilo","42","1113","305.0","26.0","CHI","28"
"2026-02-23","210506","Alex Michelsen","43","1110","0.0","-2.0","USA","21"
"2026-02-23","105777","Grigor Dimitrov","44","1105","0.0","-2.0","BUL","34"
"2026-02-23","105227","Marin Cilic","45","1090","0.0","-2.0","CRO","37"
"2026-02-23","200267","Zizou Bergs","46","1080","0.0","-2.0","BEL","26"
"2026-02-23","200615","Alexei Popyrin","47","1050","50.0","6.0","AUS","26"
"2026-02-23","132686","Nuno Borges","48","1045","-25.0","-3.0","POR","29"
"2026-02-23","202385","Jenson Brooksby","49","1042","0.0","-2.0","USA","25"
"2026-02-23","206681","Fabian Marozsan","50","1040","0.0","-2.0","HUN","26"
"2026-02-23","105173","Adrian Mannarino","51","1025","0.0","-2.0","FRA","37"
"2026-02-23","202104","Sebastian Baez","52","1005","-490.0","-20.0","ARG","25"
"2026-02-23","127157","Daniel Altmaier","53","961","0.0","1.0","GER","27"
"2026-02-23","208316","Valentin Royer","54","935","38.0","6.0","FRA","24"
"2026-02-23","105916","Marton Fucsovics","55","934","43.0","6.0","HUN","34"
"2026-02-23","111794","Kamil Majchrzak","56","920","0.0","0.0","POL","30"
"2026-02-23","126610","Matteo Berrettini","57","910","0.0","0.0","ITA","29"
"2026-02-23","208659","Giovanni Mpetshi Perricard","58","905","0.0","0.0","FRA","22"
"2026-02-23","200116","Camilo Ugo Carabelli","59","880","-188.0","-13.0","ARG","26"
"2026-02-23","106000","Damir Dzumhur","60","877","0.0","2.0","BIH","33"
"2026-02-23","122298","Botic Van De Zandschulp","61","874","-62.0","-6.0","NED","30"
"2026-02-23","106218","Marcos Giron","62","870","15.0","2.0","USA","32"
"2026-02-23","209279","Terence Atmane","63","858","25.0","3.0","FRA","24"
"2026-02-23","132283","Lorenzo Sonego","64","850","0.0","1.0","ITA","30"
"2026-02-23","200240","Vit Kopriva","65","848","188.0","22.0","CZE","28"
"2026-02-23","209860","Ignacio Buse","66","848","200.0","25.0","PER","21"
"2026-02-23","208118","Eliot Spizzirri","67","821","0.0","0.0","USA","24"
"2026-02-23","111460","Quentin Halys","68","800","38.0","4.0","FRA","29"
"2026-02-23","124187","Reilly Opelka","69","786","0.0","0.0","USA","28"
"2026-02-23","207678","Juan Manuel Cerundolo","70","781","75.0","8.0","ARG","24"
"2026-02-23","209920","Raphael Collignon","71","777","-125.0","-12.0","BEL","24"
"2026-02-23","210319","Ethan Quinn","72","776","0.0","-2.0","USA","21"
"2026-02-23","128034","Hubert Hurkacz","73","775","0.0","-2.0","POL","29"
"2026-02-23","209070","Arthur Cazaux","74","755","0.0","-1.0","FRA","23"
"2026-02-23","206499","Aleksandar Kovacevic","75","746","0.0","0.0","USA","27"
"2026-02-23","202058","Thiago Agustin Tirante","76","739","92.0","16.0","ARG","24"
"2026-02-23","208363","Mariano Navone","77","725","-25.0","-3.0","ARG","24"
"2026-02-23","124186","Alexandre Muller","78","715","-305.0","-26.0","FRA","29"
"2026-02-23","207182","Emilio Nava","79","710","0.0","-3.0","USA","24"
"2026-02-23","","Jan-Lennard Struff","80","706","0.0","-3.0","",""
"2026-02-23","105870","Yannick Hanfmann","81","695","42.0","9.0","GER","34"
"2026-02-23","207681","Francisco Comesana","82","694","-175.0","-19.0","ARG","25"
"2026-02-23","105902","James Duckworth","83","691","0.0","-3.0","AUS","34"
"2026-02-23","200175","Miomir Kecmanovic","84","685","15.0","-1.0","SRB","26"
"2026-02-23","105138","Roberto Bautista Agut","85","685","0.0","-3.0","ESP","37"
"2026-02-23","209209","Filip Misolic","86","671","-16.0","-5.0","AUT","24"
"2026-02-23","200443","Adam Walton","87","669","26.0","6.0","AUS","26"
"2026-02-23","208286","Matteo Arnaldi","88","665","0.0","-3.0","ITA","25"
"2026-02-23","207411","Jesper De Jong","89","665","0.0","-3.0","NED","25"
"2026-02-23","207985","Jacob Fearnley","90","662","-6.0","-6.0","GBR","24"
"2026-02-23","126846","Aleksandar Vukic","91","656","0.0","-3.0","AUS","29"
"2026-02-23","","Aleksandr Shevchenko","92","656","-40.0","-13.0","",""
"2026-02-23","106426","Cristian Garin","93","656","0.0","-4.0","CHI","29"
"2026-02-23","210696","Alexander Blockx","94","626","56.0","10.0","BEL","20"
"2026-02-23","200384","Hugo Gaston","95","619","0.0","1.0","FRA","25"
"2026-02-23","208882","Roman Andres Burruchaga","96","617","37.0","6.0","ARG","24"
"2026-02-23","126535","Carlos Taberner","97","608","0.0","3.0","ESP","28"
"2026-02-23","208260","Zachary Svajda","98","601","38.0","8.0","USA","23"
"2026-02-23","104527","Stan Wawrinka","99","599","-13.0","-1.0","SUI","40"
"2026-02-23","209414","Luca Van Assche","100","596","119.0","30.0","FRA","21"
"2026-02-23","124079","Pedro Martinez","101","586","0.0","0.0","ESP","28"
"2026-02-23","209098","Hamad Medjedovic","102","565","-50.0","-5.0","SRB","22"
"2026-02-23","200516","Patrick Kypson","103","565","0.0","2.0","USA","26"
